O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
843,601199,江南水务,2014/06/30,2.34亿,2.34亿,1.20万,0.31,8.00,3.83,2.94亿,15.21,9714万,607万,9522万,7183万,9.93,4.75亿,2.03,52.64,31.6亿,15.0亿,12.4亿,1.11亿,12.9亿,11.6亿,1.25亿,40.77,18.7亿,59.23,10.9亿,4.67,0,0,2011/03/17
844,601208,东材科技,2014/06/30,6.16亿,5.66亿,2.72万,0.11,3.43,3.25,6.95亿,30.43,7224万,0,8196万,6912万,71.33,2.81亿,0.46,24.68,25.8亿,10.4亿,10.7亿,9361万,4.62亿,4.04亿,5780万,17.88,21.1亿,81.72,11.6亿,1.86,0,0,2011/05/20
845,601216,内蒙君正,2014/06/30,20.5亿,14.9亿,2.59万,0.20,2.99,6.70,24.0亿,44.88,4.49亿,9472万,4.62亿,4.06亿,59.85,22.6亿,1.07,29.63,111亿,28.6亿,61.8亿,3.36亿,48.6亿,25.7亿,22.9亿,43.83,61.9亿,55.89,24.9亿,1.92,0,0,2011/02/22
846,601218,吉鑫科技,2014/06/30,9.92亿,9.92亿,3.19万,0.03,2.31,1.48,7.50亿,24.81,4665万,-227万,4274万,3385万,505.06,6.07亿,0.61,16.35,37.0亿,27.1亿,7.73亿,1.10亿,14.0亿,13.0亿,1.04亿,37.98,22.9亿,61.81,5.89亿,0.59,0,0,2011/05/06
847,601222,林洋电子,2014/06/30,3.55亿,3.52亿,1.14万,0.38,7.52,5.05,8.44亿,10.83,1.58亿,431万,1.61亿,1.35亿,15.47,8.29亿,2.34,35.27,32.3亿,26.8亿,3.68亿,4339万,5.59亿,5.42亿,1692万,17.27,26.7亿,82.59,13.9亿,3.89,0,0,2011/08/08
848,601225,陕西煤业,2014/06/30,100亿,5.00亿,1.00万,0.08,3.48,2.39,211亿,8.61,23.2亿,3.11亿,22.9亿,8.26亿,-69.45,153亿,1.53,33.62,897亿,224亿,309亿,217亿,460亿,257亿,203亿,51.31,348亿,38.77,72.7亿,0.00,0,0,2014/01/28
849,601231,环旭电子,2014/06/30,10.1亿,1.07亿,1.31万,0.34,3.93,8.68,69.5亿,7.29,3.99亿,2235万,4.02亿,3.45亿,29.42,21.4亿,2.11,13.75,90.1亿,72.7亿,10.0亿,2709万,50.3亿,50.0亿,3401万,55.86,39.8亿,44.14,6.81亿,0.68,0,0,2012/02/20
850,601233,桐昆股份,2014/06/30,9.64亿,9.59亿,3.13万,-0.03,6.97,-0.44,118亿,17.75,1187万,1302万,3091万,-2986万,-162.48,27.1亿,2.82,4.55,147亿,53.4亿,82.9亿,5.01亿,77.8亿,63.2亿,14.6亿,53.07,67.1亿,45.83,28.0亿,2.90,0,0,2011/05/18
851,601238,广汽集团,2014/06/30,64.4亿,6.04亿,10.4万,0.27,5.34,5.06,108亿,32.96,16.3亿,21.7亿,18.1亿,17.3亿,41.61,174亿,2.70,9.88,563亿,244亿,64.7亿,29.6亿,211亿,155亿,56.1亿,37.59,343亿,61.03,89.0亿,1.38,0,22.1亿,2012/03/29
852,601258,庞大集团,2014/06/30,26.2亿,26.2亿,5.37万,0.02,3.46,0.48,310亿,4.91,9486万,1.20亿,1.60亿,4376万,-84.40,19.6亿,0.75,9.89,638亿,447亿,76.5亿,59.6亿,546亿,503亿,43.0亿,85.60,90.8亿,14.24,42.8亿,1.63,0,0,2011/04/28
853,601288,农业银行,2014/06/30,3248亿,2842亿,108万,0.32,2.61,11.52,2666亿,13.48,1346亿,-16.9亿,1356亿,1040亿,12.65,2725亿,0.66,0.00,16.0万亿,0,1481亿,261亿,15.1万亿,0,0,94.33,9062亿,5.66,924亿,0.27,0,307亿,2010/07/15
854,601299,中国北车,2014/06/30,123亿,101亿,5.55万,0.22,3.73,5.77,388亿,5.12,28.5亿,1.61亿,28.9亿,23.2亿,48.21,115亿,0.94,19.30,1489亿,980亿,232亿,96.7亿,1014亿,903亿,111亿,68.11,457亿,30.71,212亿,1.53,0,21.3亿,2009/12/29
855,601311,骆驼股份,2014/06/30,8.52亿,5.78亿,3.08万,0.34,4.25,8.01,23.4亿,15.83,3.30亿,2859万,3.47亿,2.90亿,46.42,16.1亿,1.89,22.44,56.0亿,36.0亿,11.5亿,2.57亿,18.6亿,9.99亿,8.64亿,33.30,36.2亿,64.67,10.4亿,1.21,0,0,2011/06/02
856,601313,江南嘉捷,2014/06/30,4.00亿,2.69亿,1.36万,0.22,3.39,6.47,11.8亿,12.65,1.10亿,202万,1.11亿,8800万,22.78,5.14亿,1.28,27.48,26.6亿,21.6亿,2.78亿,5318万,12.6亿,12.6亿,219万,47.44,13.6亿,51.01,3.64亿,1.12,0,0,2012/01/16
857,601318,中国平安,2014/06/30,79.2亿,47.9亿,3.21万,2.70,26.08,10.90,2363亿,24.73,325亿,338亿,326亿,214亿,19.27,1021亿,12.90,0.00,3.80万亿,0,168亿,314亿,3.53万亿,0,0,92.97,2065亿,5.43,890亿,10.75,0,31.3亿,2007/03/01
858,601328,交通银行,2014/06/30,743亿,327亿,17.0万,0.50,5.67,8.39,904亿,6.62,468亿,-23.9亿,472亿,368亿,5.59,498亿,0.41,0.00,6.28万亿,0,475亿,16.2亿,5.84万亿,0,0,92.96,4405亿,7.01,1118亿,1.50,0,350亿,2007/05/15
