O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1322,000851,高鸿股份,2014/06/30,5.16亿,4.84亿,5779,0.03,4.19,0.74,25.7亿,11.50,5277万,1116万,5669万,1601万,-40.05,1.31亿,0.25,8.64,59.3亿,49.2亿,1.79亿,1.50亿,34.2亿,33.5亿,7192万,57.70,21.6亿,36.44,15.0亿,2.90,0,0,1998/06/09
1323,000852,江钻股份,2014/06/30,4.00亿,1.30亿,4861,0.02,2.81,0.71,7.24亿,-14.47,698万,0,691万,813万,-84.63,4.39亿,1.10,18.70,23.4亿,14.8亿,7.28亿,5148万,11.3亿,11.2亿,977万,48.37,11.2亿,47.97,1.03亿,0.26,0,0,1998/11/26
1324,000856,冀东装备,2014/06/30,2.27亿,1.32亿,6122,-0.10,2.20,-4.65,6.49亿,10.45,-2931万,-13.2万,-2935万,-2304万,0.00,-1.16亿,-0.51,9.90,22.9亿,17.4亿,2.29亿,1.77亿,17.0亿,16.8亿,2112万,74.31,4.99亿,21.77,3.53亿,1.42,0,0,1998/08/13
1325,000858,五 粮 液,2014/06/30,38.0亿,38.0亿,1.15万,1.05,9.16,10.51,117亿,-24.85,55.4亿,-576万,55.5亿,40.0亿,-30.90,270亿,6.42,68.34,447亿,370亿,56.2亿,2.89亿,65.1亿,64.5亿,6520万,14.57,374亿,83.76,9.53亿,0.25,0,0,1998/04/27
1326,000859,国风塑业,2014/06/30,5.69亿,4.20亿,1.39万,0.00,2.43,-0.15,6.34亿,-2.59,-1827万,98.1万,-150万,-154万,0.00,-349万,-0.01,8.59,19.0亿,10.0亿,4.74亿,5067万,5.19亿,4.24亿,9495万,27.33,13.8亿,72.67,7.60亿,1.34,0,0,1998/11/19
1327,000860,顺鑫农业,2014/06/30,5.71亿,4.39亿,1.02万,0.56,8.70,7.78,58.0亿,21.17,3.56亿,29.9万,3.56亿,2.46亿,69.63,13.1亿,2.30,24.29,176亿,128亿,23.6亿,8.56亿,125亿,101亿,23.6亿,71.04,49.7亿,28.29,28.0亿,4.90,0,0,1998/11/04
1328,000861,海印股份,2014/06/30,5.92亿,2.00亿,8987,0.22,4.66,8.40,9.94亿,-1.48,1.49亿,-20.7万,1.67亿,1.12亿,-26.72,13.8亿,2.34,35.37,79.0亿,51.4亿,4.82亿,2.96亿,51.1亿,21.0亿,30.0亿,64.65,27.6亿,34.93,7.15亿,1.21,0,0,1998/10/28
1329,000862,银星能源,2014/06/30,2.83亿,2.83亿,7487,-0.06,0.59,-9.52,4.44亿,11.82,-1602万,-66.3万,-1396万,-1656万,0.00,-5.45亿,-1.92,32.24,46.5亿,10.9亿,33.9亿,6960万,43.2亿,8.05亿,35.1亿,92.87,1.66亿,3.56,4.03亿,1.42,0,0,1998/09/15
1330,000863,三湘股份,2014/06/30,7.39亿,1.75亿,6727,0.05,2.54,2.06,6.80亿,169.79,4457万,2222万,5882万,3831万,-44.47,15.5亿,2.10,26.51,91.4亿,78.9亿,5132万,8.21万,71.6亿,37.4亿,34.2亿,78.35,18.8亿,20.54,15.9万,0.00,0,0,1997/09/25
1331,000868,安凯客车,2014/06/30,6.96亿,6.96亿,1.07万,0.02,1.76,0.92,22.5亿,9.42,-1.04亿,-90.0万,2891万,1114万,-55.45,1.06亿,0.15,7.44,46.1亿,33.8亿,6.84亿,1.77亿,32.0亿,30.1亿,1.98亿,69.55,12.2亿,26.58,3.85亿,0.55,0,0,1997/07/25
1332,000869,张  裕Ａ,2014/06/30,6.85亿,4.53亿,1.32万,0.93,9.49,9.77,23.0亿,-9.35,8.39亿,0,8.48亿,6.38亿,-13.85,52.5亿,7.17,61.48,86.1亿,41.3亿,19.8亿,2.99亿,16.1亿,15.2亿,8762万,18.64,68.5亿,79.48,5.63亿,0.82,2.32亿,0,2000/10/26
1333,000875,吉电股份,2014/06/30,14.6亿,6.60亿,5724,-0.06,2.53,-2.18,21.6亿,1.50,-8187万,1070万,-7664万,-8181万,-268.54,-6.57亿,-0.45,20.16,181亿,24.6亿,137亿,5498万,138亿,53.3亿,85.1亿,76.42,36.9亿,20.40,27.9亿,1.91,0,0,2002/09/26
1334,000876,新 希 望,2014/06/30,20.8亿,10.7亿,2.09万,0.46,7.91,7.04,321亿,3.78,13.7亿,12.7亿,13.8亿,9.51亿,12.03,93.6亿,4.49,5.61,315亿,112亿,57.9亿,8.68亿,140亿,131亿,8.34亿,44.33,136亿,43.08,16.8亿,0.96,0,0,1998/03/11
1335,000877,天山股份,2014/06/30,8.80亿,8.80亿,1.32万,-0.02,7.46,-0.30,29.1亿,-15.91,-8385万,16.0万,1972万,-1986万,-124.09,18.8亿,2.13,22.49,221亿,53.4亿,142亿,7.02亿,143亿,90.7亿,52.4亿,64.65,65.7亿,29.67,35.7亿,4.06,0,0,1999/01/07
1336,000878,云南铜业,2014/06/30,14.2亿,14.2亿,8124,0.01,3.82,0.26,297亿,92.49,4526万,2216万,6870万,1388万,0.00,-8.71亿,-0.62,3.30,262亿,138亿,74.5亿,8.19亿,195亿,151亿,43.2亿,74.35,54.1亿,20.68,43.6亿,3.13,0,0,1998/06/02
1337,000880,潍柴重机,2014/06/30,2.76亿,1.35亿,5904,0.12,4.49,2.80,15.0亿,34.88,3714万,1735万,4009万,3422万,6.55,3.05亿,1.10,10.78,34.0亿,13.4亿,11.8亿,1.75亿,21.5亿,20.6亿,9205万,63.36,12.4亿,36.50,5.89亿,2.13,0,0,1998/04/02
1338,000881,大连国际,2014/06/30,3.09亿,3.08亿,7110,0.16,5.27,3.07,9.22亿,35.84,5835万,54.3万,7946万,4999万,-24.32,9.88亿,3.20,18.27,64.3亿,33.0亿,29.7亿,45.5万,41.5亿,23.9亿,17.7亿,64.59,16.3亿,25.34,2.54亿,0.82,0,0,1998/09/02
1339,000882,华联股份,2014/06/30,22.3亿,10.7亿,2.80万,0.02,2.66,0.62,6.31亿,21.96,4002万,3472万,4290万,3695万,16.41,1.45亿,0.07,44.97,131亿,26.1亿,1.62亿,8.10亿,63.9亿,24.3亿,39.6亿,48.92,59.1亿,45.26,34.7亿,1.56,0,0,1998/06/16
1340,000883,湖北能源,2014/06/30,26.7亿,26.7亿,6.01万,0.19,5.13,3.70,33.9亿,-5.18,6.48亿,1.87亿,7.60亿,5.09亿,-12.92,30.4亿,1.14,31.78,330亿,33.9亿,218亿,4.05亿,182亿,115亿,67.0亿,55.13,137亿,41.56,77.0亿,2.88,0,0,1998/05/19
1341,000885,同力水泥,2014/06/30,4.75亿,4.27亿,1.87万,0.15,4.36,3.64,19.6亿,6.58,5799万,10.5万,1.38亿,6380万,134.03,3.11亿,0.66,20.30,48.7亿,8.22亿,33.0亿,3.91亿,22.4亿,12.5亿,9.87亿,46.02,20.7亿,42.52,12.0亿,2.52,0,0,1999/03/19
1342,000886,海南高速,2014/06/30,9.89亿,9.63亿,7379,0.04,2.76,1.54,8160万,-58.46,3588万,3164万,5046万,4204万,-45.11,4.46亿,0.45,53.51,32.4亿,21.6亿,1.57亿,2.44亿,4.94亿,4.92亿,177万,15.27,27.3亿,84.40,9.48亿,0.96,0,0,1998/01/23
1343,000887,中鼎股份,2014/06/30,11.2亿,11.1亿,5.18万,0.26,2.37,11.88,22.8亿,16.11,3.44亿,3180万,3.52亿,2.86亿,8.21,10.8亿,0.93,29.41,55.4亿,32.7亿,12.9亿,2.29亿,27.5亿,21.8亿,5.70亿,49.66,26.5亿,47.77,2.87亿,0.17,0,0,1998/12/03
1344,000888,峨眉山Ａ,2014/06/30,2.63亿,2.16亿,2.57万,0.20,6.18,3.32,4.23亿,15.43,6497万,42.3万,6356万,5382万,82.53,5.63亿,2.14,37.05,19.7亿,6.40亿,9.28亿,8362万,2.98亿,2.89亿,942万,15.14,16.3亿,82.66,6.91亿,2.62,0,0,1997/10/21
1345,000889,茂业物流,2014/06/30,4.46亿,3.39亿,1.10万,0.14,2.71,5.17,9.59亿,-13.94,8279万,50.0万,8433万,6152万,5.90,3.05亿,0.68,18.93,17.3亿,9.13亿,4.85亿,4100万,5.22亿,5.16亿,578万,30.13,12.1亿,69.61,4.17亿,0.94,0,0,1997/12/18
1346,000890,法 尔 胜,2014/06/30,3.80亿,3.80亿,8275,0.01,2.72,0.40,7.51亿,-4.38,1027万,920万,1059万,417万,-19.29,1.15亿,0.30,14.03,31.3亿,18.9亿,6.87亿,1.34亿,20.0亿,19.5亿,5267万,64.05,10.3亿,32.95,4.64亿,1.22,0,0,1999/01/19
1347,000892,星美联合,2014/06/30,4.14亿,3.07亿,1.77万,0.00,0.01,-22.71,0,-100.00,-112万,0,-111万,-109万,-389.57,-4.98亿,-1.20,0.00,438万,438万,0,0,10.6万,10.6万,0,2.41,427万,97.59,8874万,0.21,0,0,1999/01/15
1348,000893,东凌粮油,2014/06/30,4.08亿,3.88亿,3.11万,-0.84,1.73,-37.75,60.6亿,23.76,-3.56亿,-1.26亿,-3.54亿,-3.41亿,-1225.25,-1.93亿,-0.47,-0.75,77.0亿,64.1亿,8.37亿,5294万,69.7亿,67.4亿,2.31亿,90.45,7.04亿,9.14,4.62亿,1.47,0,0,1998/12/24
1349,000895,双汇发展,2014/06/30,22.0亿,12.1亿,4.41万,1.00,6.12,15.96,210亿,3.63,27.1亿,9132万,29.0亿,22.0亿,30.01,75.0亿,3.41,21.39,180亿,70.7亿,91.1亿,9.02亿,37.6亿,37.2亿,4342万,20.94,135亿,74.95,24.8亿,1.13,0,0,1998/12/10
1350,000897,津滨发展,2014/06/30,16.2亿,16.2亿,7362,0.01,0.81,1.30,11.8亿,37.95,7155万,0,7192万,1698万,0.00,-5.53亿,-0.34,18.64,76.0亿,73.8亿,1071万,189万,53.3亿,46.9亿,6.48亿,70.19,13.2亿,17.33,1.88亿,0.12,0,0,1999/04/22
1351,000898,鞍钢股份,2014/06/30,72.3亿,61.5亿,4.34万,0.08,6.56,1.22,382亿,3.40,7.74亿,4.05亿,8.18亿,5.77亿,-17.81,54.4亿,0.75,10.34,913亿,283亿,444亿,60.7亿,438亿,371亿,66.6亿,47.98,474亿,51.95,311亿,4.30,0,10.9亿,1997/12/25
1352,000899,赣能股份,2014/06/30,6.47亿,5.55亿,1.17万,0.27,2.90,9.50,13.1亿,8.49,2.28亿,3029万,2.29亿,1.76亿,-6.20,4.42亿,0.68,26.51,60.1亿,8.03亿,41.2亿,253万,41.2亿,22.6亿,18.6亿,68.60,18.8亿,31.25,6.05亿,0.94,0,0,1997/11/26
1353,000900,现代投资,2014/06/30,10.1亿,10.1亿,1.35万,0.17,6.10,2.78,10.1亿,14.01,2.29亿,2219万,2.33亿,1.74亿,-34.67,34.6亿,3.42,55.70,164亿,24.8亿,26.4亿,91.3亿,101亿,28.9亿,72.0亿,61.72,61.7亿,37.73,10.3亿,1.01,0,0,1999/01/28
1354,000901,航天科技,2014/06/30,2.50亿,2.50亿,6326,0.07,3.38,2.01,6.65亿,21.93,1169万,824万,2239万,1693万,-0.28,3.05亿,1.22,17.11,17.3亿,12.6亿,1.51亿,8058万,7.66亿,4.49亿,3.17亿,44.36,8.47亿,49.02,2.39亿,0.95,0,0,1999/04/01
1355,000902,新洋丰,2014/06/30,6.02亿,2.58亿,1.96万,0.46,4.01,12.26,40.3亿,541.44,2.96亿,0,3.21亿,2.79亿,0.00,16.9亿,2.82,17.64,51.3亿,28.5亿,19.0亿,2.95亿,25.4亿,22.9亿,2.48亿,49.51,24.1亿,47.05,1403万,0.02,0,0,1999/04/08
1356,000903,云内动力,2014/06/30,6.81亿,6.81亿,1.06万,0.13,4.05,3.11,12.0亿,-8.74,6712万,250万,9586万,8598万,7.36,6.38亿,0.87,20.68,54.7亿,26.1亿,18.6亿,3.00亿,26.4亿,15.6亿,10.8亿,48.20,28.1亿,51.28,12.6亿,1.86,0,0,1999/04/15
1357,000905,厦门港务,2014/06/30,5.31亿,5.31亿,1.04万,0.17,4.41,3.86,34.3亿,117.78,1.11亿,-95.3万,1.43亿,9011万,1.02,13.4亿,2.52,5.38,47.6亿,22.6亿,10.5亿,3.71亿,22.1亿,17.9亿,4.19亿,46.44,23.4亿,49.23,2.61亿,0.49,0,0,1999/04/29
1358,000906,物产中拓,2014/06/30,3.31亿,3.31亿,2.91万,0.15,3.24,4.79,99.4亿,-10.68,5918万,706万,8001万,5093万,43.48,2.30亿,0.69,2.67,64.4亿,54.1亿,4.36亿,2.49亿,50.1亿,47.5亿,2.65亿,77.83,10.7亿,16.65,4.83亿,1.46,0,0,1999/07/07
1359,000908,天一科技,2014/06/30,2.80亿,2.80亿,2.04万,-0.05,-0.04,0.00,4924万,-28.81,-1545万,-1.75万,-1535万,-1527万,0.00,-4.88亿,-1.74,16.34,3.51亿,1.53亿,8104万,4054万,3.61亿,3.57亿,385万,102.84,-1033万,-2.94,1.75亿,0.62,0,0,1999/02/03
1360,000909,数源科技,2014/06/30,2.94亿,2.94亿,1.46万,0.08,2.40,3.45,4.93亿,-10.49,2830万,1410万,3155万,2423万,18.45,1.71亿,0.58,11.74,47.0亿,43.5亿,2785万,898万,38.4亿,26.9亿,11.5亿,81.66,7.05亿,14.99,2.28亿,0.78,0,0,1999/05/07
1361,000910,大亚科技,2014/06/30,5.28亿,5.28亿,1.67万,0.09,4.79,1.91,37.4亿,6.46,5282万,-1078万,1.20亿,4825万,42.88,14.5亿,2.75,24.47,87.4亿,55.1亿,20.9亿,8.99亿,55.5亿,47.8亿,7.71亿,63.46,25.3亿,28.92,3.62亿,0.69,0,0,1999/06/30
1362,000911,南宁糖业,2014/06/30,2.87亿,2.87亿,6992,-0.18,4.51,-3.97,12.4亿,-28.33,-5055万,0,-4345万,-5238万,0.00,-1.65亿,-0.57,11.30,55.5亿,40.1亿,13.0亿,1.06亿,41.3亿,33.5亿,7.77亿,74.34,12.9亿,23.30,10.2亿,3.56,0,0,1999/05/27
1363,000912,泸 天 化,2014/06/30,5.85亿,2.67亿,5557,-0.37,2.94,-11.14,22.1亿,-10.20,-2.90亿,-1031万,-2.88亿,-2.14亿,-3201.65,2707万,0.05,5.43,132亿,27.0亿,50.4亿,2.73亿,109亿,53.8亿,55.6亿,82.59,17.2亿,12.97,6.60亿,1.09,0,0,1999/06/03
1364,000913,钱江摩托,2014/06/30,4.54亿,4.53亿,1.68万,-0.12,4.81,-2.52,13.1亿,-20.67,-6704万,-115万,-6670万,-5567万,-564.84,2.72亿,0.60,13.83,40.7亿,25.5亿,8.17亿,1.88亿,18.5亿,15.5亿,3.05亿,45.55,21.8亿,53.66,13.4亿,2.95,0,0,1999/05/14
1365,000915,山大华特,2014/06/30,1.80亿,1.79亿,1.30万,0.42,4.58,9.36,5.97亿,20.64,1.50亿,0,1.52亿,7544万,-5.41,5.76亿,3.20,57.69,16.7亿,8.09亿,4.18亿,1.52亿,3.98亿,3.60亿,3881万,23.85,8.26亿,49.43,3459万,0.19,0,0,1999/06/09
1366,000916,华北高速,2014/06/30,10.9亿,9.20亿,1.50万,0.15,3.80,3.92,3.59亿,18.17,2.15亿,1516万,2.20亿,1.62亿,32.45,11.1亿,1.01,55.84,46.8亿,21.4亿,18.7亿,672万,2.53亿,2.17亿,3601万,5.40,41.4亿,88.34,14.3亿,1.31,0,0,1999/09/27
1367,000917,电广传媒,2014/06/30,14.2亿,7.00亿,1.54万,0.16,6.83,2.43,25.4亿,4.75,2.71亿,7503万,2.81亿,2.33亿,-14.86,19.5亿,1.33,35.48,141亿,45.1亿,55.2亿,7.94亿,40.7亿,18.0亿,22.7亿,28.79,97.4亿,68.84,61.8亿,4.34,0,0,1999/03/25
1368,000918,嘉凯城,2014/06/30,18.0亿,18.0亿,7.06万,-0.07,2.31,-3.04,26.9亿,9.79,-1.27亿,-953万,-1.32亿,-1.27亿,-716.17,30.5亿,1.69,10.62,345亿,329亿,3.49亿,1779万,286亿,210亿,75.6亿,82.94,41.6亿,12.08,-8.73亿,-0.48,0,0,1999/07/20
1369,000919,金陵药业,2014/06/30,5.04亿,2.75亿,1.03万,0.22,4.43,4.94,13.8亿,8.02,1.60亿,598万,1.59亿,1.09亿,33.35,9.64亿,1.91,25.66,33.6亿,21.1亿,9.15亿,9916万,7.40亿,7.10亿,3062万,22.04,22.3亿,66.40,4.72亿,0.94,0,0,1999/11/18
1370,000920,南方汇通,2014/06/30,4.22亿,4.22亿,1.54万,0.05,2.53,1.99,9.46亿,3.76,4028万,212万,6330万,2171万,-0.12,8703万,0.21,21.29,24.2亿,12.9亿,5.45亿,1.40亿,10.6亿,9.66亿,9387万,43.76,10.7亿,44.17,5.02亿,1.19,0,0,1999/06/16
1371,000921,海信科龙,2014/06/30,13.6亿,8.97亿,4.58万,0.45,2.50,19.85,154亿,18.51,6.97亿,1.87亿,7.42亿,6.10亿,-13.73,-2.51亿,-0.18,21.35,156亿,110亿,26.5亿,5.60亿,117亿,113亿,4.31亿,75.20,34.0亿,21.78,21.3亿,1.55,0,4.60亿,1999/07/13
1372,000922,佳电股份,2014/06/30,5.24亿,2.98亿,1.54万,0.19,3.15,6.30,12.2亿,1.11,1.17亿,0,1.20亿,1.01亿,37.14,6.06亿,1.16,23.57,32.2亿,24.4亿,4.71亿,1.95亿,15.4亿,13.9亿,1.53亿,47.88,16.5亿,51.13,3.98亿,0.76,0,0,1999/06/18
1373,000923,河北宣工,2014/06/30,1.98亿,1.98亿,9371,0.01,2.62,0.37,1.62亿,-20.59,190万,202万,218万,194万,-28.60,8321万,0.41,18.33,16.3亿,10.5亿,1.46亿,1.07亿,11.1亿,10.9亿,2206万,68.08,5.21亿,31.92,2.23亿,1.11,0,0,1999/07/14
1374,000925,众合机电,2014/06/30,3.08亿,3.01亿,1.99万,-0.07,2.95,-2.15,6.41亿,34.62,-2037万,375万,-2029万,-2040万,-906.58,-1.21亿,-0.39,17.36,32.4亿,18.6亿,2.29亿,7.39亿,23.2亿,19.2亿,3.99亿,71.57,9.20亿,28.43,7.42亿,2.45,0,0,1999/06/11
1375,000926,福星股份,2014/06/30,7.12亿,5.29亿,7637,0.32,9.65,3.34,37.5亿,19.13,3.90亿,5789万,3.86亿,2.28亿,-18.10,34.1亿,4.79,15.92,279亿,245亿,17.8亿,6483万,189亿,112亿,76.9亿,67.66,68.7亿,24.67,23.2亿,3.26,0,0,1999/06/18
1376,000927,一汽夏利,2014/06/30,16.0亿,16.0亿,2.91万,-0.27,1.72,-14.73,15.8亿,-48.59,-4.73亿,2.78亿,-4.31亿,-4.36亿,-9608.69,-6.79亿,-0.43,-13.48,76.8亿,23.4亿,28.9亿,2.93亿,49.1亿,42.5亿,6.52亿,63.89,27.4亿,35.69,13.4亿,0.84,0,0,1999/07/27
1377,000928,*ST吉炭,2014/06/30,2.83亿,2.83亿,9860,-0.84,0.49,-92.91,6.92亿,-4.32,-2.41亿,-713万,-2.36亿,-2.37亿,0.00,-11.2亿,-3.96,-12.05,19.3亿,13.1亿,5.19亿,7412万,17.9亿,17.8亿,1195万,92.90,1.37亿,7.10,8.79亿,3.11,0,0,1999/03/12
1378,000929,兰州黄河,2014/06/30,1.86亿,1.86亿,7834,0.08,3.35,2.31,4.51亿,-9.99,4479万,368万,4662万,1431万,22.62,2.20亿,1.18,32.88,14.6亿,10.3亿,3.33亿,7780万,4.29亿,4.00亿,2884万,29.38,6.22亿,42.56,1.93亿,1.04,0,0,1999/06/23
1379,000930,中粮生化,2014/06/30,9.64亿,9.64亿,9236,0.03,2.97,0.83,34.9亿,-7.08,1263万,0,5101万,2393万,-44.16,8.07亿,0.82,9.62,69.2亿,21.3亿,41.9亿,3.52亿,38.1亿,28.1亿,10.0亿,55.07,28.8亿,41.61,9.23亿,0.96,0,0,1999/07/12
1380,000931,中 关 村,2014/06/30,6.75亿,5.07亿,3850,-0.06,0.86,-7.41,11.2亿,-19.19,-4426万,-24.5万,-3632万,-4230万,0.00,-11.5亿,-1.70,15.83,40.5亿,33.1亿,4.98亿,993万,34.0亿,33.8亿,2392万,83.98,5.78亿,14.28,9.68亿,1.35,0,0,1999/07/12
1381,000932,华菱钢铁,2014/06/30,30.2亿,30.2亿,2.05万,0.01,3.37,0.19,291亿,2.80,-2609万,1722万,5397万,1901万,0.00,-7.14亿,-0.24,7.44,712亿,244亿,398亿,37.7亿,581亿,527亿,54.9亿,81.71,102亿,14.28,70.3亿,2.33,0,0,1999/08/03
1382,000933,神火股份,2014/06/30,19.0亿,18.7亿,1.55万,-0.19,3.70,-4.83,111亿,-18.38,-3.19亿,3765万,-3.19亿,-3.56亿,-260.84,23.5亿,1.23,8.90,496亿,158亿,186亿,53.3亿,390亿,307亿,82.9亿,78.63,70.3亿,14.16,19.4亿,1.02,0,0,1999/08/31
1383,000935,四川双马,2014/06/30,6.16亿,1.89亿,5545,0.04,3.30,1.13,10.1亿,4.37,1.09亿,9.60万,1.15亿,2286万,395.22,9.12亿,1.48,19.58,48.2亿,11.2亿,32.9亿,2.83亿,12.9亿,12.1亿,7656万,26.76,20.3亿,42.21,4.75亿,0.77,0,0,1999/08/24
1384,000936,华西股份,2014/06/30,7.48亿,7.48亿,1.25万,0.02,2.38,0.89,10.1亿,-8.28,2227万,927万,2267万,1621万,6.56,7.07亿,0.95,6.01,29.1亿,14.3亿,4.52亿,2178万,9.83亿,9.42亿,4051万,33.75,17.8亿,61.00,2.08亿,0.28,0,0,1999/08/10
1385,000937,冀中能源,2014/06/30,27.2亿,21.9亿,2.28万,0.02,6.78,0.34,107亿,-26.27,7471万,4864万,1.10亿,5270万,-93.34,88.0亿,3.24,18.85,415亿,145亿,138亿,64.2亿,236亿,159亿,77.1亿,56.86,153亿,36.99,23.8亿,1.87,0,0,1999/09/09
1386,000938,紫光股份,2014/06/30,2.06亿,2.06亿,6249,0.19,7.98,3.83,44.5亿,28.68,6715万,1018万,6752万,4004万,54.77,2.63亿,1.28,4.35,41.7亿,25.5亿,5081万,7588万,22.5亿,21.1亿,1.43亿,54.09,16.4亿,39.46,11.0亿,5.35,0,0,1999/11/04
1387,000939,凯迪电力,2014/06/30,9.43亿,9.40亿,1.50万,0.09,2.75,3.29,13.1亿,28.92,9106万,546万,1.05亿,8386万,80.91,14.4亿,1.52,23.55,135亿,38.1亿,54.7亿,8.60亿,103亿,55.1亿,47.4亿,76.20,25.9亿,19.25,-3386万,-0.04,0,0,1999/09/23
1388,000948,南天信息,2014/06/30,2.47亿,2.31亿,9968,-0.16,5.51,-2.93,6.53亿,-5.07,-4538万,1003万,-4103万,-4051万,0.00,2.53亿,1.03,21.71,23.1亿,14.6亿,3.02亿,8692万,9.45亿,8.67亿,7864万,41.00,13.6亿,58.97,7.96亿,3.23,0,0,1999/10/14
1389,000949,新乡化纤,2014/06/30,10.3亿,8.28亿,1.24万,0.04,2.29,2.41,14.6亿,-10.18,4579万,-61.5万,4834万,4218万,2679.59,1.99亿,0.19,14.66,43.2亿,17.6亿,21.0亿,6624万,25.5亿,21.5亿,4.00亿,58.93,17.7亿,41.03,5.68亿,0.68,0,0,1999/10/21
1390,000950,建峰化工,2014/06/30,5.99亿,5.99亿,1.61万,-0.33,3.74,-8.40,16.9亿,-7.61,-1.96亿,127万,-1.96亿,-1.96亿,-910.38,4.58亿,0.77,0.17,69.0亿,18.6亿,26.4亿,1.79亿,46.6亿,12.6亿,34.0亿,67.48,22.4亿,32.43,10.7亿,1.79,0,0,1999/09/16
1391,000951,中国重汽,2014/06/30,4.19亿,4.19亿,1.15万,0.68,10.15,6.89,122亿,19.12,4.69亿,0,4.97亿,2.84亿,53.40,26.9亿,6.40,10.37,178亿,151亿,19.1亿,4.01亿,128亿,124亿,4.43亿,72.11,42.6亿,23.98,6.84亿,1.63,0,0,1999/11/25
1392,000952,广济药业,2014/06/30,2.52亿,2.52亿,4816,-0.09,2.76,-3.27,2.30亿,1.27,-4011万,31.0万,-2431万,-2306万,-3665.90,2.99亿,1.19,13.00,15.9亿,4.72亿,6.12亿,1.82亿,8.78亿,7.95亿,8272万,55.25,6.94亿,43.67,6770万,0.27,0,0,1999/11/12
1393,000953,河池化工,2014/06/30,2.94亿,2.94亿,1.51万,-0.37,1.19,-26.00,2.48亿,-44.49,-1.10亿,0,-1.08亿,-1.08亿,0.00,-3.42亿,-1.16,-27.62,20.2亿,8.68亿,6.01亿,6.04万,16.7亿,15.1亿,1.53亿,82.63,3.50亿,17.37,3.61亿,1.23,0,0,1999/12/02
1394,000955,欣龙控股,2014/06/30,5.38亿,4.99亿,2.44万,-0.02,1.23,3.77,1.32亿,33.63,-1355万,92.3万,-1219万,-1214万,0.00,-3.28亿,-0.61,10.90,9.81亿,4.17亿,2.94亿,8648万,3.18亿,1.58亿,1.60亿,32.41,6.61亿,67.35,4.50亿,0.84,0,0,1999/12/09
1395,000957,中通客车,2014/06/30,2.39亿,2.38亿,8259,0.86,4.06,22.76,15.6亿,0.10,2.29亿,2.16亿,2.54亿,2.05亿,354.19,5.26亿,2.13,14.24,35.5亿,23.7亿,3.73亿,3.24亿,25.5亿,21.4亿,4.10亿,71.96,9.86亿,27.80,1.38亿,0.58,0,0,2000/01/13
1396,000958,东方热电,2014/06/30,4.83亿,2.19亿,5976,0.25,1.72,15.54,4.08亿,-8.70,1.21亿,9525万,1.20亿,1.20亿,103.05,-9.21亿,-1.91,15.78,15.1亿,2.03亿,6.31亿,1.78亿,7.07亿,4.83亿,2.24亿,46.68,8.32亿,54.94,12.0亿,2.47,0,0,1999/12/23
1397,000959,首钢股份,2014/06/30,52.9亿,12.1亿,5655,0.00,3.93,0.04,127亿,148.39,-3922万,1.09亿,-3419万,936万,0.00,7.89亿,0.15,5.85,596亿,82.2亿,347亿,17.6亿,384亿,283亿,101亿,64.42,208亿,34.91,134亿,2.53,0,0,1999/12/16
1398,000960,锡业股份,2014/06/30,11.5亿,11.5亿,1.26万,0.15,6.28,2.38,112亿,6.87,1.81亿,2810万,2.03亿,1.70亿,0.00,4.34亿,0.38,7.68,220亿,92.2亿,102亿,10.7亿,147亿,116亿,31.2亿,66.94,72.3亿,32.84,52.2亿,4.53,0,0,2000/02/21
1399,000961,中南建设,2014/06/30,11.7亿,11.6亿,3.48万,0.44,6.87,6.46,95.1亿,29.96,7.44亿,-7.20万,7.35亿,5.17亿,6.50,60.4亿,5.05,19.08,750亿,696亿,16.2亿,5.41亿,629亿,499亿,130亿,83.87,81.7亿,10.88,7.24亿,0.62,0,0,2000/03/01
1400,000962,东方钽业,2014/06/30,4.41亿,4.41亿,6649,-0.18,5.32,-3.25,17.1亿,21.61,-8743万,-84.9万,-7786万,-7768万,-337.53,4.63亿,1.05,2.71,44.5亿,24.1亿,17.7亿,1.32亿,21.0亿,17.3亿,3.62亿,47.16,23.5亿,52.77,12.0亿,2.72,0,0,2000/01/20
