O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
136,600321,国栋建设,2.40,0.42, 水泥建材,12.40,136,+340,0.42,5.38,277,+138,2.56,5.87,214,+157,6.67,4.75,123,+127,4.35
137,600315,上海家化,36.38,4.24, 化工行业,12.36,137,+858,4.24,3.88,433,+1711,5.94,2.16,644,+1298,7.35,1.00,497,+917,4.36
138,601177,杭齿前进,8.07,3.07, 机械行业,12.29,138,+591,3.07,5.56,268,+1286,4.53,2.80,547,+1204,8.32,0.09,664,+555,5.08
139,600409,三友化工,5.49,5.78, 化工行业,12.23,139,+2169,5.78,2.81,546,+1891,6.81,-1.35,1510,+831,10.69,-2.09,1351,+706,5.58
140,600393,东华实业,6.94,1.76, 房地产,12.21,140,+3,1.76,7.41,167,+301,5.15,5.52,251,+258,6.93,1.30,451,+758,4.68
141,000513,丽珠集团,50.13,2.64, 医药行业,12.20,141,+1434,2.64,1.46,705,+1047,1.48,1.94,679,+650,4.16,-0.01,870,+777,7.99
142,002389,南洋科技,9.02,2.27, 电子元件,12.16,142,+643,2.27,5.41,274,+1324,3.44,0.67,910,+915,5.37,-0.30,933,+443,6.62
143,002227,奥 特 迅,24.90,1.59, 输配电气,12.10,143,+256,1.59,5.51,269,+1383,3.15,1.51,756,+1010,5.78,-4.47,1899,+451,-0.12
144,600248,延长化建,8.34,2.21, 石油行业,12.03,144,+1197,2.21,5.01,304,+1429,3.35,4.38,352,+1155,5.57,1.97,355,+878,3.60
145,002384,东山精密,12.13,2.80, 材料行业,12.01,145,+844,2.80,7.37,171,+1241,7.63,1.33,785,+995,9.38,-2.53,1462,+338,4.57
146,002668,奥马电器,22.04,7.78, 家电行业,11.97,146,+647,7.78,3.80,445,+1569,7.46,2.52,585,+1370,9.65,2.18,333,+1309,8.84
147,300280,南通锻压,15.22,2.42, 机械行业,11.93,147,+507,2.42,4.66,341,+214,3.26,3.38,462,+485,7.56,4.17,153,+85,1.67
148,002042,华孚色纺,4.49,0.45, 化纤行业,11.92,148,+69,0.45,7.33,174,+881,1.58,3.49,445,+340,4.91,-0.42,959,+43,2.75
149,600078,澄星股份,6.73,1.05, 化工行业,11.87,149,-120,1.05,12.53,42,+31,5.98,9.02,74,+89,8.90,8.39,35,+37,7.17
150,000996,中国中期,17.25,1.11, 交运物流,11.84,150,+1965,1.11,4.65,343,+562,1.89,4.23,363,+537,4.80,2.02,350,+218,2.31
151,000010,深华新,7.86,2.88, 机械行业,11.82,151,+1854,2.88,-1.85,1423,+263,2.48,0.80,878,+1035,6.36,-0.03,875,+696,7.82
152,600012,皖通高速,4.59,0.66, 高速公路,11.66,152,+11,0.66,11.85,47,+14,1.77,11.51,38,+21,4.32,6.29,74,+56,1.32
153,000514,渝 开 发,5.04,1.41, 房地产,11.58,153,+1211,1.41,3.77,450,+459,3.07,5.03,290,+141,6.11,1.30,449,+237,2.86
154,600283,钱江水利,9.73,2.21, 公用事业,11.55,154,+820,2.21,4.90,321,+1585,3.84,3.62,431,+453,10.95,1.02,493,+191,9.33
155,000060,中金岭南,8.08,3.19, 有色金属,11.54,155,+1812,3.19,1.91,650,+1068,3.32,2.61,569,+1074,6.46,-1.78,1277,+744,4.80
156,002044,江苏三友,8.43,2.18, 纺织服装,11.54,156,+2160,2.18,4.26,384,+1061,8.35,1.90,686,+935,13.92,-0.76,1042,+703,9.77
157,002342,巨力索具,7.02,1.45, 材料行业,11.53,157,-68,1.45,15.04,26,-3,6.20,13.31,24,+9,10.90,8.17,38,-19,9.35
158,002150,通润装备,8.37,2.83, 机械行业,11.50,158,+716,2.83,3.55,473,+188,3.72,5.70,225,+139,9.99,5.30,104,+40,7.31
159,000021,长城开发,6.72,1.66, 电子信息,11.44,159,+1605,1.66,3.15,506,+1594,1.97,3.19,491,+552,5.00,-0.82,1059,+162,1.05
160,000009,中国宝安,13.46,4.26, 房地产,11.43,160,+2235,4.26,-0.78,1264,+1150,2.20,-1.96,1639,+597,2.98,-1.86,1296,+314,5.82
161,300249,依米康,12.98,4.09, 机械行业,11.41,161,+2207,4.09,5.71,258,+1221,6.57,2.43,599,+1149,9.26,0.12,656,+1002,7.01
162,000757,浩物股份,6.44,4.04, 汽车行业,11.40,162,+352,4.04,7.72,156,+74,8.05,6.45,173,+647,12.78,2.68,276,+172,16.04
163,002550,千红制药,24.73,4.74, 医药行业,11.40,163,+1832,4.74,5.58,264,+171,4.66,3.02,510,+596,9.14,-1.79,1282,+748,8.04
164,601808,中海油服,20.50,3.69, 石油行业,11.37,164,+2207,3.69,0.04,930,+1225,2.76,-0.27,1283,+362,3.38,2.95,247,+211,12.39
165,002488,金固股份,16.22,2.14, 汽车行业,11.36,165,-28,2.14,3.28,495,-95,3.31,6.03,206,+378,9.08,3.04,241,+346,6.78
166,002110,三钢闽光,5.09,2.21, 钢铁行业,11.35,166,+1682,2.21,10.10,80,+176,3.88,5.99,207,+390,7.61,-1.31,1168,+715,2.41
167,300288,朗玛信息,90.51,2.39, 电子信息,11.34,167,+1467,2.39,1.89,654,-298,-0.53,6.87,157,+71,6.48,4.22,150,-62,5.45
168,002333,罗普斯金,11.26,1.90, 水泥建材,11.33,168,+2013,1.90,5.06,300,+510,2.36,4.47,342,+1386,5.43,-3.10,1604,+520,1.72
169,002052,同洲电子,10.62,7.93, 通讯行业,11.31,169,+779,7.93,5.27,284,+531,11.44,5.42,258,+671,15.81,1.08,480,+1402,13.22
