O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
1399,600390,金瑞科技,14.39,-0.28, 材料行业,-2.88,1399,-57,-0.28,-2.53,1540,-53,0.70,-1.60,1564,-78,4.28,-2.51,1454,+150,-1.84
1400,002530,丰东股份,8.56,0.82, 机械行业,-2.88,1400,-467,0.82,3.23,499,+337,4.01,1.60,744,-170,7.67,-0.06,883,-238,9.74
1401,000761,本钢板材,6.12,0.49, 钢铁行业,-2.89,1401,+603,0.49,-16.39,2505,+47,-5.85,-30.52,2552,0,-10.26,-23.38,2552,-1,-7.55
1402,002522,浙江众成,10.27,1.58, 塑胶制品,-2.91,1402,-1215,1.58,-1.13,1319,+238,3.01,-1.67,1579,-891,4.80,3.45,208,+32,10.43
1403,002409,雅克科技,20.22,-0.30, 化工行业,-2.95,1403,-775,-0.30,-3.33,1654,+691,3.01,-7.27,2314,-392,3.32,0.11,658,-140,5.59
1404,601579,会稽山,14.70,7.53, 酿酒行业,-2.97,1404,-1193,7.53,6.38,217,-188,30.09,7.62,129,-113,57.39,8.29,36,-27,130.41
1405,600376,首开股份,5.32,-0.37, 房地产,-2.97,1405,-941,-0.37,1.28,732,+45,1.92,0.72,903,+180,3.91,1.36,439,-69,0.95
1406,000423,东阿阿胶,36.31,0.55, 医药行业,-2.99,1406,+1096,0.55,-9.82,2295,+22,0.95,-5.98,2189,+171,2.66,-11.56,2491,+16,-3.17
1407,002097,山河智能,9.80,0.72, 机械行业,-3.04,1407,-1000,0.72,-0.85,1270,-335,2.08,-0.66,1374,-5,7.34,0.95,509,-102,9.38
1408,000963,华东医药,56.76,1.00, 医药行业,-3.05,1408,+1023,1.00,-16.43,2506,+20,0.26,-13.42,2503,+27,0.67,-11.69,2495,+25,0.00
1409,000510,金路集团,8.59,0.47, 化工行业,-3.06,1409,+1108,0.47,-7.04,2099,+307,-0.92,-9.71,2413,-97,-2.16,-6.83,2241,-159,-2.94
1410,300324,旋极信息,32.66,10.00, 电子信息,-3.06,1410,-256,10.00,-3.06,1613,-411,10.00,-3.06,1828,-589,10.00,-4.96,1987,+47,9.74
1411,000701,厦门信达,11.38,0.00, 商业百货,-3.08,1411,-1359,0.00,7.48,163,+19,3.17,4.45,344,-48,6.45,0.24,626,+47,2.06
1412,600802,福建水泥,7.14,0.56, 水泥建材,-3.11,1412,+785,0.56,-2.50,1531,-1137,0.85,1.67,737,-410,4.39,1.38,437,+654,3.18
1413,600423,柳化股份,5.39,2.86, 化工行业,-3.12,1413,+944,2.86,-10.74,2341,-102,0.19,-3.14,1836,-171,14.44,-0.86,1068,-56,18.46
1414,002610,爱康科技,20.50,0.64, 电子元件,-3.12,1414,+206,0.64,1.97,646,+651,8.18,-0.29,1289,-298,10.99,-2.60,1487,-818,8.01
1415,600687,刚泰控股,13.18,0.00, 有色金属,-3.12,1415,-533,0.00,1.67,678,+196,2.73,0.96,844,+541,5.69,-2.17,1373,-7,0.92
1416,600089,特变电工,9.94,0.61, 输配电气,-3.14,1416,-825,0.61,6.51,206,-71,6.20,5.70,224,-47,9.35,2.75,266,-19,7.81
1417,000597,东北制药,12.10,0.58, 医药行业,-3.17,1417,+725,0.58,-8.50,2214,+156,0.41,-3.58,1907,+67,5.13,-7.70,2338,+66,-0.49
1418,600000,浦发银行,9.74,0.31, 银行,-3.19,1418,+329,0.31,-2.28,1494,-482,1.46,-0.23,1271,-419,2.85,-0.93,1085,+19,2.10
1419,002032,苏 泊 尔,15.94,1.14, 家电行业,-3.19,1419,-762,1.14,-3.15,1634,+548,0.25,-5.75,2167,+112,9.55,-4.72,1953,-50,4.66
1420,600369,西南证券,10.33,0.58, 券商信托,-3.20,1420,-447,0.58,-1.99,1447,-445,1.97,0.33,966,0,4.55,-0.57,993,+27,2.99
1421,600157,永泰能源,5.25,-0.76, 煤炭采选,-3.22,1421,+543,-0.76,-4.54,1846,-228,1.74,-2.39,1712,+222,3.75,-3.98,1809,+138,2.34
1422,600319,亚星化学,5.79,5.08, 化工行业,-3.22,1422,+406,5.08,-3.81,1728,+163,5.27,-2.51,1730,+43,9.45,-1.72,1261,+138,0.87
1423,600998,九州通,16.76,1.82, 医药行业,-3.22,1423,+769,1.82,-6.68,2068,-478,0.36,-2.45,1723,+165,6.68,-2.94,1572,+128,4.88
1424,600459,贵研铂业,18.31,0.11, 有色金属,-3.24,1424,+459,0.11,-0.12,1170,+169,1.05,-0.59,1361,+89,3.74,-3.30,1650,+352,2.12
1425,002196,方正电机,16.38,2.18, 机械行业,-3.25,1425,-1299,2.18,2.30,596,-486,10.68,2.15,648,-516,15.27,0.31,614,-240,10.83
1426,000096,广聚能源,7.41,-0.80, 石油行业,-3.26,1426,+765,-0.80,-1.34,1352,-397,0.68,0.29,974,+502,2.92,-0.43,964,-248,3.20
1427,002240,威华股份,24.41,1.29, 有色金属,-3.26,1427,+923,1.29,-8.51,2215,+27,-0.65,-6.76,2259,-54,1.29,-3.45,1683,+75,-5.57
1428,002690,美亚光电,37.50,-1.34, 仪器仪表,-3.26,1428,-4,-1.34,-3.11,1627,+284,1.65,-4.08,1976,+108,3.71,-0.65,1020,-382,4.02
1429,600775,南京熊猫,10.69,1.52, 通讯行业,-3.29,1429,-107,1.52,-3.63,1697,-8,4.39,-6.13,2196,-67,9.08,-5.74,2110,-248,10.43
1430,600156,华升股份,5.97,-0.83, 国际贸易,-3.29,1430,+987,-0.83,1.91,651,-76,8.15,1.96,674,-67,11.38,0.33,608,-63,8.74
1431,300087,荃银高科,11.17,-1.06, 农牧饲渔,-3.31,1431,-1239,-1.06,6.03,235,-39,6.08,5.62,239,-27,10.05,3.59,197,+9,5.38
1432,600990,四创电子,40.02,0.15, 电子元件,-3.31,1432,-10,0.15,-3.42,1667,+177,-1.28,-3.57,1906,+47,13.02,-3.56,1712,-248,15.03
1433,600076,青鸟华光,6.14,-0.32, 通讯行业,-3.32,1433,-30,-0.32,-8.52,2216,+116,-2.07,-7.16,2300,+50,-0.49,-3.59,1718,-86,4.42
1434,300085,银之杰,21.88,-1.35, 电子信息,-3.33,1434,-1092,-1.35,-0.81,1268,-610,7.52,2.23,636,-71,17.01,2.54,287,-13,25.39
1435,600858,银座股份,7.93,0.13, 商业百货,-3.34,1435,-10,0.13,-4.17,1787,-10,1.93,-4.02,1965,+132,4.76,-4.60,1930,-366,-0.13
1436,000507,珠海港,5.67,-0.35, 港口水运,-3.37,1436,+713,-0.35,-2.19,1474,-1000,5.98,2.15,646,-161,17.88,0.80,533,-165,11.39
1437,600692,亚通股份,9.40,0.11, 港口水运,-3.37,1437,-945,0.11,0.10,918,-219,1.29,-1.00,1446,-740,2.62,-3.06,1593,+19,0.53
1438,300007,汉威电子,24.93,-0.48, 仪器仪表,-3.37,1438,-714,-0.48,-1.23,1337,-281,3.88,-0.32,1297,-321,7.55,-3.92,1799,-363,2.13
1439,300222,科大智能,25.14,-0.71, 输配电气,-3.38,1439,+1047,-0.71,-5.92,2005,+185,-0.24,-5.27,2118,+2,2.95,-6.47,2202,-95,-1.22
1440,600082,海泰发展,5.27,-0.94, 房地产,-3.41,1440,+88,-0.94,-3.55,1689,-9,3.74,-2.12,1674,+22,6.46,-2.16,1368,-661,3.13
1441,600355,精伦电子,9.25,0.22, 电子元件,-3.43,1441,-609,0.22,-1.12,1315,+175,2.10,-2.29,1699,-13,4.52,-1.67,1252,-296,5.84
1442,002177,御银股份,6.26,-0.16, 电子信息,-3.44,1442,+547,-0.16,-0.17,1175,-174,1.13,-1.65,1571,-864,2.79,-3.36,1663,-1056,0.32
1443,300303,聚飞光电,19.00,-0.58, 电子元件,-3.45,1443,+677,-0.58,-4.14,1782,+366,-0.26,-1.93,1635,-791,1.23,-3.70,1747,+614,-1.04
1444,600493,凤竹纺织,7.77,-0.26, 纺织服装,-3.46,1444,-1135,-0.26,2.41,589,+57,1.57,1.73,724,-244,5.71,0.55,576,-38,10.06
1445,600826,兰生股份,18.81,0.11, 国际贸易,-3.46,1445,-550,0.11,0.08,924,+478,3.75,-0.95,1437,+42,5.14,-2.66,1501,+330,4.33
1446,002041,登海种业,32.22,-1.23, 农牧饲渔,-3.46,1446,-1041,-1.23,-5.88,2001,-122,1.64,-3.50,1897,-68,3.43,-3.08,1596,-42,3.60
1447,300144,宋城演艺,25.72,-1.00, 旅游酒店,-3.49,1447,+629,-1.00,-8.83,2234,+39,0.90,-6.72,2254,+114,3.71,-5.07,2004,-153,-3.24
1448,002559,亚威股份,20.18,-0.35, 机械行业,-3.52,1448,-529,-0.35,-2.06,1455,-674,0.35,-1.94,1637,+46,4.02,-4.30,1864,-322,0.10
1449,600863,内蒙华电,2.87,0.35, 电力行业,-3.53,1449,-525,0.35,-0.70,1255,-760,0.70,1.46,762,+85,2.87,-1.92,1312,+339,1.41
1450,600657,信达地产,3.74,0.81, 房地产,-3.55,1450,-591,0.81,-0.21,1179,-366,3.31,0.25,987,-272,5.35,-0.47,971,+135,2.47
1451,600017,日照港,3.37,4.01, 港口水运,-3.58,1451,-1178,4.01,-2.28,1495,-468,4.98,-2.16,1680,+49,14.24,-1.78,1276,-583,7.67
1452,300274,阳光电源,19.83,-0.20, 机械行业,-3.58,1452,+111,-0.20,6.60,196,+126,10.41,2.61,570,-166,10.60,1.03,489,-118,6.90
1453,600729,重庆百货,21.23,0.71, 商业百货,-3.58,1453,-704,0.71,0.90,795,-499,1.58,-0.31,1294,-420,3.36,-2.51,1455,+286,2.21
1454,000069,华侨城Ａ,5.60,0.36, 房地产,-3.59,1454,-1423,0.36,7.87,146,-91,2.75,6.67,163,-71,4.67,-1.20,1145,+168,3.51
1455,603099,长白山,16.95,9.99, 旅游酒店,-3.59,1455,-1454,9.99,2.96,531,-528,33.05,6.27,188,-185,60.97,11.09,16,-15,159.17
1456,300052,中青宝,30.89,0.62, 电子信息,-3.59,1456,+824,0.62,-2.39,1513,-475,4.39,-0.22,1268,-273,11.56,-2.60,1484,+343,4.75
1457,002405,四维图新,21.49,-0.60, 电子信息,-3.61,1457,-961,-0.60,-0.26,1186,-129,3.27,-1.18,1482,+30,7.13,-2.68,1510,-990,10.77
1458,002132,恒星科技,5.93,0.51, 材料行业,-3.61,1458,+324,0.51,-4.28,1802,-46,1.02,-1.99,1645,-81,3.67,-5.17,2018,-777,-1.66
1459,300298,三诺生物,42.86,1.04, 医药行业,-3.61,1459,-719,1.04,-7.04,2100,-34,2.34,-1.38,1521,-752,6.12,0.38,603,-3,8.48
1460,000726,鲁  泰Ａ,9.41,0.00, 纺织服装,-3.62,1460,-1147,0.00,0.64,832,+26,3.86,-1.59,1561,+14,5.85,-7.23,2285,+61,2.84
1461,300339,润和软件,20.46,-0.20, 电子信息,-3.64,1461,+757,-0.20,-9.50,2281,+173,-2.34,-9.42,2403,-118,-2.06,0.20,638,+81,4.82
1462,601877,正泰电器,26.23,3.31, 输配电气,-3.66,1462,+571,3.31,-6.69,2069,+57,3.27,-5.60,2148,+268,7.99,-7.57,2325,+28,3.35
1463,600180,瑞茂通,11.99,0.59, 煤炭采选,-3.68,1463,+877,0.59,-7.13,2108,+119,1.78,-6.53,2234,+33,4.08,-7.72,2342,-112,-0.83
1464,300134,大富科技,39.71,1.33, 通讯行业,-3.68,1464,+181,1.33,-7.95,2168,+75,2.13,-7.19,2306,-23,5.03,-9.35,2427,+42,0.79
1465,300121,阳谷华泰,9.37,-0.43, 化工行业,-3.70,1465,+864,-0.43,-0.12,1169,+426,3.08,-0.52,1342,-247,8.07,-2.27,1394,-284,2.63
1466,002233,塔牌集团,7.27,0.41, 水泥建材,-3.70,1466,+346,0.41,-4.52,1842,+87,1.11,-4.27,1995,+2,4.15,-4.40,1881,+249,1.82
1467,300235,方直科技,21.22,-0.84, 电子信息,-3.70,1467,-889,-0.84,1.28,735,+241,3.36,0.72,904,-223,7.28,-2.69,1517,-159,0.52
1468,000961,中南建设,8.41,0.00, 房地产,-3.70,1468,-154,0.00,5.87,240,+1137,2.44,-0.66,1375,+227,4.47,-7.99,2358,-68,-0.83
1469,600008,首创股份,7.21,0.28, 公用事业,-3.75,1469,-1414,0.28,8.41,125,-59,5.10,7.47,135,-75,7.93,3.65,193,-132,4.80
1470,002090,金智科技,14.78,0.07, 电子信息,-3.75,1470,-212,0.07,-5.40,1939,-161,1.30,-4.24,1991,+31,4.45,-5.44,2066,+170,1.30
1471,600356,恒丰纸业,7.09,-0.14, 造纸印刷,-3.78,1471,+209,-0.14,-4.81,1880,+357,1.00,-3.31,1859,-88,4.57,-0.14,903,-306,5.66
1472,002434,万里扬,13.28,-0.52, 汽车行业,-3.78,1472,-25,-0.52,-5.57,1962,-68,0.30,-3.19,1844,+132,2.79,-2.59,1481,+194,0.15
1473,601113,华鼎股份,4.93,0.61, 化纤行业,-3.82,1473,-1404,0.61,0.37,866,-441,1.44,0.59,925,-434,5.34,0.04,668,-29,4.67
1474,002026,山东威达,9.62,0.00, 机械行业,-3.84,1474,+692,0.00,-5.09,1905,-161,0.84,-3.18,1843,+144,4.23,-3.77,1770,+214,-0.41
1475,600654,飞乐股份,10.54,-0.09, 电子元件,-3.85,1475,-46,-0.09,-3.46,1675,+267,5.40,-3.42,1881,-51,7.55,-3.48,1688,-238,7.11
1476,000981,银亿股份,9.20,-0.54, 房地产,-3.87,1476,-144,-0.54,-6.15,2026,-59,0.33,-3.94,1959,-117,0.77,1.61,401,+58,7.48
1477,002350,北京科锐,11.78,0.68, 输配电气,-3.89,1477,-480,0.68,-4.46,1831,+62,1.55,-5.44,2132,+7,4.16,-5.31,2046,-196,-0.34
1478,600191,华资实业,6.66,-0.15, 食品行业,-3.90,1478,-838,-0.15,2.88,542,+320,1.52,-0.52,1343,-283,4.88,-0.42,961,-330,1.99
1479,002174,游族网络,52.39,0.00, 工艺商品,-3.90,1479,+302,0.00,-8.96,2243,+100,-1.34,-8.58,2374,+34,0.75,-7.99,2359,-84,-4.36
1480,300234,开尔新材,15.89,-0.81, 材料行业,-3.91,1480,-1062,-0.81,2.64,570,+494,2.85,-0.65,1372,+161,5.72,-4.97,1990,+279,-0.50
1481,603993,洛阳钼业,7.59,0.66, 有色金属,-3.92,1481,-983,0.66,-1.05,1307,-254,1.61,-1.42,1532,-601,3.27,-0.59,1001,-408,1.34
1482,002633,申科股份,23.17,-0.56, 文化传媒,-3.93,1482,+453,-0.56,-3.28,1648,-4,1.05,-2.90,1798,-160,2.66,-1.90,1310,+201,0.74
1483,002628,成都路桥,4.71,0.21, 工程建设,-3.94,1483,-593,0.21,-1.76,1411,+23,0.21,2.07,661,+250,2.39,-2.27,1393,-94,0.43
1484,300325,德威新材,8.65,2.25, 材料行业,-3.95,1484,-1160,2.25,-0.68,1252,+620,3.84,-1.21,1486,+315,8.12,-0.59,1002,-379,12.63
1485,600478,科力远,20.88,0.87, 电子元件,-3.98,1485,-74,0.87,-4.05,1765,-25,1.66,-3.35,1866,+94,7.24,-2.99,1580,-583,5.94
1486,601218,吉鑫科技,7.92,0.25, 输配电气,-3.98,1486,+178,0.25,-3.09,1621,+39,1.28,-0.73,1396,-424,7.32,2.24,328,+174,10.46
1487,002513,蓝丰生化,11.06,0.09, 化工行业,-3.98,1487,-1281,0.09,6.09,232,-125,2.41,6.36,178,-56,4.93,3.70,191,-96,2.79
1488,600633,浙报传媒,19.26,-0.82, 文化传媒,-3.99,1488,+117,-0.82,0.07,925,-4,5.77,-0.89,1424,+339,10.75,-2.70,1519,+334,2.61
1489,300371,汇中股份,27.04,0.26, 仪器仪表,-3.99,1489,-1038,0.26,-0.02,1157,-491,3.05,1.20,810,-202,8.51,-1.04,1119,-110,3.72
1490,000928,*ST吉炭,9.66,1.15, 材料行业,-4.00,1490,+18,1.15,-1.45,1366,-383,2.88,3.36,468,-96,6.50,-1.55,1224,+522,5.00
1491,000902,新洋丰,11.34,-0.26, 化工行业,-4.01,1491,+961,-0.26,-9.11,2257,-596,-1.05,-1.15,1476,-401,2.72,-7.14,2278,+55,0.09
1492,002054,德美化工,8.23,0.12, 化工行业,-4.01,1492,-1121,0.12,0.69,827,-192,1.23,0.63,916,-60,5.51,-2.46,1435,-203,0.98
1493,600650,锦江投资,10.30,0.49, 交运物流,-4.05,1493,-990,0.49,0.49,850,-354,3.41,0.92,859,-196,6.19,-2.05,1343,-634,3.10
1494,300042,朗科科技,15.91,0.00, 电子信息,-4.05,1494,-538,0.00,0.36,867,+194,1.53,-0.83,1413,-376,5.02,-4.73,1958,-2,0.51
1495,002210,飞马国际,16.76,0.84, 交运物流,-4.06,1495,-1170,0.84,0.28,880,-100,0.06,-2.03,1655,-109,6.89,0.99,503,-43,11.88
1496,300196,长海股份,17.32,0.00, 材料行业,-4.08,1496,-1140,0.00,0.65,830,+68,1.94,-1.41,1530,-167,6.26,-9.86,2447,+48,-0.29
1497,600403,大有能源,6.12,0.33, 煤炭采选,-4.10,1497,-143,0.33,-2.79,1573,-34,2.17,-2.07,1663,-22,4.44,-4.47,1898,-101,-1.45
1498,000559,万向钱潮,14.13,-0.07, 汽车行业,-4.13,1498,+737,-0.07,-5.46,1944,-131,-0.14,-1.28,1496,-470,3.90,-2.67,1504,+94,3.44
1499,000887,中鼎股份,11.42,1.24, 汽车行业,-4.13,1499,-1028,1.24,-0.28,1187,+552,2.70,-2.84,1784,+39,2.79,-4.73,1955,+77,2.42
1500,600449,宁夏建材,8.58,0.23, 水泥建材,-4.14,1500,-599,0.23,-2.26,1491,-767,1.18,-0.04,1237,+250,4.00,-1.69,1255,+75,4.25
1501,600359,新农开发,8.67,0.00, 农牧饲渔,-4.16,1501,-1336,0.00,4.51,355,-101,2.48,3.74,416,-20,4.96,0.19,639,+374,1.76
1502,600392,盛和资源,20.62,0.44, 有色金属,-4.16,1502,+885,0.44,-7.82,2161,+145,-0.48,-5.58,2146,-41,1.78,-3.06,1594,-128,0.19
1503,600326,西藏天路,7.29,-0.27, 工程建设,-4.17,1503,+506,-0.27,-2.78,1572,+723,0.69,-6.20,2202,+84,2.97,-15.97,2541,-9,-10.99
1504,002209,达 意 隆,9.22,1.32, 机械行业,-4.18,1504,-47,1.32,-5.52,1952,-961,2.44,-0.79,1407,-80,5.61,-2.84,1548,-491,3.13
1505,600101,明星电力,8.49,0.12, 电力行业,-4.20,1505,-222,0.12,-3.06,1612,+419,1.92,-2.71,1763,-101,3.79,1.55,409,-75,1.07
1506,002106,莱宝高科,13.10,-0.30, 电子元件,-4.21,1506,+619,-0.30,-9.69,2287,+34,-0.46,-7.62,2331,-62,2.34,-8.36,2377,-50,-1.36
1507,300106,西部牧业,13.39,-1.47, 农牧饲渔,-4.21,1507,-1486,-1.47,7.96,142,-115,2.53,7.96,118,-80,6.61,1.85,370,+23,1.13
1508,600118,中国卫星,22.77,0.22, 航天航空,-4.23,1508,-199,0.22,-4.11,1778,-1185,3.83,1.63,741,-140,16.41,0.84,526,+36,16.17
1509,300137,先河环保,15.49,0.32, 仪器仪表,-4.23,1509,-753,0.32,3.08,515,-157,1.71,6.41,174,-61,6.75,-0.32,936,+114,2.58
1510,600594,益佰制药,38.00,0.11, 医药行业,-4.25,1510,+197,0.11,-7.66,2147,+182,-1.63,-6.11,2192,+74,-1.14,-7.70,2339,-46,-3.36
1511,300389,艾比森,84.18,0.35, 电子元件,-4.26,1511,-1301,0.35,-1.78,1416,-544,7.92,-0.62,1367,-320,16.43,-1.65,1243,+94,21.23
1512,300228,富瑞特装,52.37,0.13, 机械行业,-4.28,1512,-23,0.13,-2.28,1496,-656,2.11,0.33,967,-125,5.37,-4.99,1993,-154,-0.21
1513,000728,国元证券,13.35,-0.15, 券商信托,-4.29,1513,-132,-0.15,-6.15,2024,-516,-0.89,-1.73,1585,-123,3.17,-2.62,1492,+255,3.17
1514,600293,三峡新材,6.24,0.81, 玻璃陶瓷,-4.29,1514,-117,0.81,-1.73,1408,-563,1.79,0.31,971,-88,4.17,-0.48,975,-41,5.76
1515,600361,华联综超,5.12,0.39, 商业百货,-4.31,1515,-539,0.39,-3.56,1690,-749,2.20,-0.04,1239,+116,6.44,-2.37,1415,+88,3.64
1516,002630,华西能源,21.82,1.49, 机械行业,-4.32,1516,+981,1.49,-19.07,2533,0,-1.71,-16.14,2526,+12,-0.55,-14.13,2531,-7,2.44
1517,600621,华鑫股份,6.47,0.62, 综合行业,-4.33,1517,-673,0.62,-2.67,1555,+694,1.57,-5.61,2150,+15,4.19,-5.59,2092,-719,-0.31
1518,600985,雷鸣科化,13.24,0.23, 化工行业,-4.33,1518,+13,0.23,-2.30,1499,-138,1.38,-0.40,1311,-233,3.84,-0.54,991,+78,3.04
1519,002185,华天科技,12.60,0.72, 电子元件,-4.36,1519,+945,0.72,-11.80,2386,-19,0.08,-7.65,2333,+72,0.96,-8.83,2402,-377,-1.49
1520,600745,中茵股份,13.39,0.07, 房地产,-4.37,1520,-988,0.07,1.23,748,-312,3.00,6.41,175,-32,10.84,2.27,322,-100,5.27
1521,600882,华联矿业,8.54,0.35, 钢铁行业,-4.38,1521,+67,0.35,-3.91,1745,-115,-0.35,0.25,988,-267,-0.35,4.28,144,-87,-3.06
1522,002237,恒邦股份,14.78,0.61, 有色金属,-4.38,1522,+632,0.61,-9.34,2272,+148,1.44,-8.95,2391,+66,3.79,-9.55,2435,-34,0.14
1523,600988,赤峰黄金,11.75,1.38, 有色金属,-4.39,1523,-858,1.38,-2.51,1532,-578,0.77,-1.30,1500,+78,5.86,-3.34,1660,-59,-2.57
1524,600655,豫园商城,8.14,0.62, 商业百货,-4.40,1524,+2,0.62,1.39,711,-486,1.75,1.63,742,-343,3.56,-0.48,974,-519,0.99
1525,600223,鲁商置业,4.10,0.00, 房地产,-4.40,1525,-939,0.00,3.39,489,+1070,1.23,-2.81,1781,+120,3.02,-1.72,1263,+898,0.74
1526,300172,中电环保,19.78,-0.65, 机械行业,-4.41,1526,-1263,-0.65,5.12,294,+154,2.49,1.95,677,-182,5.27,-3.70,1746,-181,5.49
1527,002008,大族激光,20.27,0.55, 电子元件,-4.44,1527,-271,0.55,-4.81,1877,-126,-1.41,-1.86,1618,-160,2.58,1.16,469,-113,9.86
1528,600284,浦东建设,9.98,0.71, 工程建设,-4.46,1528,+90,0.71,-1.94,1439,+562,1.94,-6.21,2205,+108,3.53,-5.11,2008,+86,-0.20
1529,300103,达刚路机,16.48,4.37, 机械行业,-4.47,1529,-1490,4.37,4.40,371,-324,14.05,5.09,284,-242,20.82,3.91,173,-126,17.38
1530,002173,千足珍珠,12.22,0.83, 农牧饲渔,-4.47,1530,+639,0.83,-13.59,2455,+45,-0.89,-12.95,2495,+17,0.33,-6.73,2227,+91,2.09
1531,300094,国联水产,8.99,0.11, 农牧饲渔,-4.48,1531,+517,0.11,-9.31,2270,+121,1.47,-10.02,2423,+87,4.05,-11.84,2503,+5,-2.81
1532,600098,广州发展,5.25,0.19, 电力行业,-4.50,1532,-600,0.19,-7.07,2102,-1144,1.74,-1.49,1547,-42,3.35,-3.85,1790,-160,1.55
1533,600869,智慧能源,10.36,0.29, 输配电气,-4.50,1533,+597,0.29,-8.12,2187,-486,-0.48,-4.68,2042,-115,2.17,-3.60,1725,+52,2.68
1534,600734,实达集团,5.11,-0.97, 房地产,-4.52,1534,+47,-0.97,0.77,813,-149,2.82,1.27,796,-175,6.90,0.62,565,-154,2.61
1535,000922,佳电股份,14.95,-0.47, 仪器仪表,-4.53,1535,+744,-0.47,-5.93,2006,+131,-3.24,-6.13,2195,+77,3.39,-5.93,2137,-267,-8.17
1536,600515,海岛建设,8.86,0.34, 商业百货,-4.57,1536,+920,0.34,-0.30,1192,-306,8.85,-0.45,1323,-336,11.87,-1.76,1273,-230,4.73
1537,600007,中国国贸,11.15,-0.71, 房地产,-4.58,1537,+931,-0.71,-7.25,2111,+224,0.27,-7.29,2316,-23,1.18,-3.82,1785,-252,0.27
1538,000818,方大化工,3.85,1.58, 化工行业,-4.60,1538,-166,1.58,-1.71,1405,-55,2.67,-1.90,1625,+21,5.48,-3.61,1728,+38,2.67
1539,000558,莱茵置业,6.09,0.66, 房地产,-4.60,1539,+246,0.66,-0.58,1243,-222,7.60,-1.58,1560,-23,8.17,0.01,672,+271,9.93
1540,002719,麦趣尔,31.16,-1.17, 食品行业,-4.60,1540,-763,-1.17,-6.42,2053,+245,-0.76,-7.58,2329,+52,2.00,-6.66,2218,+19,-7.73
1541,002197,证通电子,16.88,-0.59, 电子信息,-4.64,1541,+393,-0.59,-6.90,2090,-304,-1.40,0.80,879,-113,10.47,-0.43,965,-46,14.91
1542,002645,华宏科技,15.41,-0.77, 机械行业,-4.64,1542,+98,-0.77,1.24,743,+267,0.33,-2.13,1676,-628,2.39,-5.42,2063,+108,-1.15
1543,000676,思达高科,6.27,0.32, 仪器仪表,-4.67,1543,-1451,0.32,5.63,262,+4,4.85,4.49,337,-106,8.67,-1.25,1154,-1,6.27
1544,002019,鑫富药业,32.73,0.40, 医药行业,-4.68,1544,+708,0.40,-7.79,2159,-1175,-2.56,2.60,572,-94,4.97,0.98,505,-102,6.27
1545,600585,海螺水泥,18.01,0.56, 水泥建材,-4.69,1545,-795,0.56,-0.40,1207,-473,1.64,-0.64,1369,+14,4.28,-2.01,1332,+48,2.39
1546,000831,五矿稀土,24.42,0.74, 有色金属,-4.69,1546,+818,0.74,-7.61,2143,-73,0.70,-4.05,1971,+131,3.04,-2.25,1389,+43,1.20
1547,300351,永贵电器,34.14,-1.61, 交运设备,-4.70,1547,-247,-1.61,-2.15,1471,-945,-0.76,1.99,670,-237,4.85,0.01,673,-187,5.44
1548,002637,赞宇科技,16.49,-0.18, 化工行业,-4.71,1548,-1003,-0.18,-3.70,1704,-853,0.06,2.04,665,-364,3.39,-2.62,1494,+327,3.97
1549,601010,文峰股份,8.60,-0.81, 商业百货,-4.77,1549,-604,-0.81,-4.82,1881,-1270,4.62,1.09,829,-117,16.85,0.83,529,-52,16.06
1550,300047,天源迪科,14.88,-1.20, 电子信息,-4.78,1550,-786,-1.20,0.11,914,-157,-0.60,0.53,942,-266,3.69,2.57,286,-61,10.63
1551,600699,均胜电子,27.31,-1.80, 汽车行业,-4.79,1551,+532,-1.80,-9.42,2277,-118,-3.40,-4.99,2082,+36,-0.40,-5.40,2058,-160,-4.18
1552,002589,瑞康医药,31.45,-0.57, 医药行业,-4.80,1552,-839,-0.57,-8.24,2197,+266,0.06,-8.56,2371,+80,3.52,-7.75,2343,-147,-2.69
1553,601188,龙江交通,3.17,0.00, 高速公路,-4.83,1553,+573,0.00,-9.37,2274,+37,-0.63,-5.85,2177,-89,1.28,-3.97,1806,+282,-1.55
1554,600081,东风科技,13.91,-0.29, 汽车行业,-4.84,1554,+770,-0.29,-5.68,1975,+131,1.90,-6.42,2223,-297,3.96,-6.58,2210,+1,-2.66
1555,000572,海马汽车,4.63,-0.22, 汽车行业,-4.86,1555,-102,-0.22,4.99,307,-225,1.09,3.32,473,-139,4.04,-1.63,1235,+116,-1.49
1556,300323,华灿光电,13.32,-0.22, 电子元件,-4.86,1556,-1357,-0.22,2.10,627,-329,3.10,1.31,790,-267,7.59,-4.08,1829,+424,1.52
