Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
487,600761,安徽合力,11.23,0.99,0.112,0.106,7.66,0.125,0.362,-0.344,-0.527,2,4,5,6.15,1.56,4.59,27,26.17,0.82
488,600664,哈药股份,7.8,4.42,0.112,0.26,8.88,0.874,1.367,0.884,1.113,6,5,7,13.49,10.98,2.51,30.2,29.37,0.83
489,600626,申达股份,8.95,0.34,0.112,0.212,7.43,0.355,0.451,-0.134,-0.323,3,3,4,4.01,3.08,0.92,23.64,19.96,3.68
490,600310,桂东电力,13.81,-0.43,0.112,-0.009,4.58,0.617,0.459,0.442,0.061,2,2,3,4.05,1.71,2.34,31.03,28.53,2.5
491,2635,安洁科技,37.14,2.46,0.112,0.196,1.71,-2.568,-1.813,-4.178,-4.106,1,2,3,1.94,3.81,-1.87,29.33,26.47,2.86
492,600084,中葡股份,5,0.6,0.111,0.121,10.98,0.107,0.198,-0.528,-0.697,1,3,3,0,0,0,27.72,19.57,8.15
493,2100,天康生物,13.68,0.29,0.111,-0.054,5.11,0.031,-0.672,2.268,1.36,1,3,8,4.34,3.85,0.49,27.64,21.75,5.9
494,2473,圣莱达,27.05,6.45,0.11,0.296,19.06,0.187,0.404,-0.342,-0.26,1,4,6,14.62,10.74,3.88,40.49,39.83,0.66
495,2431,棕榈园林,18.7,0.16,0.109,0.135,7.03,-0.523,-0.566,-0.991,-1.13,1,2,3,2.78,0,2.78,29.92,28.17,1.75
496,421,南京中北,7.17,0.7,0.109,-0.145,3.09,0.133,-0.248,-0.625,-1.602,1,2,4,2.12,3.3,-1.17,26.49,19.51,6.98
497,600808,马钢股份,1.79,0.56,0.108,0.102,32.66,0.116,0.076,0.153,0.078,1,3,7,22.85,4.95,17.9,27.7,26.63,1.07
498,300240,飞力达,13.26,-0.15,0.107,-0.068,5.5,0.858,0.589,0.554,-0.185,3,4,6,0.23,0,0.23,22.08,15.75,6.33
499,2050,三花股份,14.6,1.46,0.107,0.04,17.96,0.212,0.042,0.063,-0.048,2,4,6,7.64,7.46,0.17,44.82,31.35,13.47
500,603,盛达矿业,16.67,2.21,0.107,0.442,3.09,0.193,0.358,-1.084,-2.671,2,3,3,1.05,0,1.04,19.16,18.68,0.48
501,603002,宏昌电子,7.72,1.05,0.106,0.032,2.03,0.427,0.373,-0.456,-1.077,1,4,6,0,0.57,-0.57,16.53,14.02,2.51
