Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
1343,300011,鼎汉技术,16.15,0.06,-0.041,-0.16,-9.78,-0.688,-0.719,-1.129,-1.24,0,1,3,7.35,6.48,0.86,29.97,33.6,-3.63
1344,2041,登海种业,32.22,-1.23,-0.041,-0.13,-12.71,-0.172,-0.216,-0.236,-0.041,0,2,5,11.36,14.67,-3.3,31.04,31.19,-0.16
1345,601800,中国交建,4.16,0.97,-0.042,-0.091,-4.14,-0.266,0.052,-0.573,-0.308,0,1,3,15,19.23,-4.23,22.45,19.96,2.49
1346,600780,通宝能源,5.18,0.19,-0.042,0.047,-3.7,-0.098,0.439,-0.314,0.564,0,1,1,2.68,3.75,-1.07,14.03,17.98,-3.95
1347,603005,晶方科技,44.29,2.22,-0.043,0.176,1.14,-0.175,1.198,0.178,2.094,0,1,4,1.7,3.48,-1.79,33.01,32.1,0.91
1348,300144,宋城演艺,25.72,-1,-0.043,-0.267,-12.17,-0.43,-0.944,-0.582,-1.179,0,0,2,2.36,3.39,-1.03,23.35,25.81,-2.46
1349,300024,机器人,34.09,0.15,-0.043,-0.093,-5.04,-0.757,-0.957,-1.777,-2.37,0,0,1,9.08,10.13,-1.05,31.72,32.56,-0.85
1350,2475,立讯精密,33.79,-1.08,-0.043,-0.131,-16.73,-0.172,-0.193,-0.327,-0.312,0,1,2,7.56,8.22,-0.67,23.48,29.12,-5.64
1351,622,恒立实业,5.3,0.19,-0.043,-0.012,-1.35,-0.247,0.277,-1.685,-1.979,0,2,4,0.46,2.08,-1.62,25.48,24.94,0.54
1352,600720,祁连山,7.02,0,-0.044,0.034,-0.77,-0.348,0.192,-0.575,0.016,0,1,3,6.31,9.3,-2.99,37.63,36.72,0.91
1353,600655,豫园商城,8.14,0.62,-0.044,-0.085,-9.69,0.05,0.019,-0.032,-0.176,0,2,4,5.95,13.67,-7.72,29.21,25.89,3.32
1354,600356,恒丰纸业,7.09,-0.14,-0.044,-0.034,-4.96,-0.281,-0.224,-0.01,-0.038,0,1,5,0,0,0,26.09,29.87,-3.78
1355,552,靖远煤电,9.06,0,-0.044,-0.028,-2.55,-0.183,-0.137,-0.784,-1.716,0,1,3,1.49,0.39,1.1,23.22,26.35,-3.13
1356,601888,中国国旅,38.32,-0.34,-0.045,-0.074,-21.54,-0.145,-0.019,-0.24,-0.207,0,1,2,2.9,6.23,-3.33,17.02,26.85,-9.83
1357,600641,万业企业,4.45,0.45,-0.045,-0.025,-6.24,0.089,-0.025,0.03,-0.209,0,3,4,0,1.22,-1.22,18.94,23.11,-4.17
1358,600605,汇通能源,14.08,0.57,-0.045,-0.058,-5.65,0.209,0.075,-0.287,-0.661,0,3,5,0,0,0,7.52,12.45,-4.93
1359,600345,长江通信,16.34,0.8,-0.045,0.026,-1.41,0.118,0.342,0.024,-0.009,0,3,4,0,0,0,24.76,26.49,-1.73
1360,300330,华虹计通,15.68,1.55,-0.045,0.308,0.56,-0.754,-0.553,-1.201,-2.073,0,1,3,0,0,0,14.98,16.59,-1.61
1361,2589,瑞康医药,31.45,-0.57,-0.045,-0.244,-15.5,-0.384,-0.352,-0.64,-1.102,0,2,2,0.36,4.19,-3.84,24.85,25.82,-0.96
1362,2507,涪陵榨菜,25.54,0.59,-0.045,-0.059,-7.34,0.028,-0.009,0.243,0.226,0,2,5,0,0,0,15.17,20.79,-5.62
1363,2350,北京科锐,11.78,0.68,-0.045,-0.024,-4.64,-0.427,-0.218,-0.71,-1.19,0,0,3,3.99,6.36,-2.37,18.68,20.2,-1.52
1364,2191,劲嘉股份,15.49,-0.32,-0.045,-0.132,-6.02,0.152,0.011,-0.67,-0.987,0,3,4,5.33,5.8,-0.46,29.45,31.15,-1.7
1365,673,当代东方,19.02,-1.45,-0.045,-0.109,-5.97,-0.03,-0.333,0.804,-0.337,0,2,5,5.9,4.86,1.04,35.36,38.46,-3.1
1366,600831,广电网络,8.92,0.22,-0.046,-0.139,-4.59,-0.412,-0.55,-1.548,-1.714,0,1,1,3.55,3.25,0.3,22.65,25.08,-2.43
1367,2361,神剑股份,7.32,0,-0.046,-0.371,-5.69,0.208,0.255,-1.093,-3.614,0,2,2,0,0,0,20.51,22.19,-1.68
1368,600601,方正科技,4.11,0.49,-0.047,-0.152,-7.65,-0.067,-0.357,-1.047,-1.174,0,3,3,8.84,7.18,1.66,26.38,30.58,-4.2
1369,300111,向日葵,4.16,1.46,-0.047,-0.192,-3.16,0.471,0.764,-0.783,-1.599,0,2,4,8.15,4.26,3.89,18.67,23.77,-5.1
1370,2581,万昌科技,39.28,10,-0.047,-0.138,-8.72,3.722,1.719,3.91,1.819,0,4,9,53.27,55.49,-2.23,13.19,11.41,1.79
1371,2016,世荣兆业,8.4,0.48,-0.047,0.049,-0.75,-0.553,-0.264,-0.655,-0.341,0,1,3,7.86,6.63,1.23,31.88,35.95,-4.06
1372,69,华侨城Ａ,5.6,0.36,-0.047,0.091,1.51,0.37,0.498,-0.133,0.098,0,4,6,15.85,15.09,0.77,24.3,28.66,-4.36
1373,603168,莎普爱思,88.48,1.39,-0.048,0.082,-0.03,-3.64,-3.778,2.405,-0.184,0,0,4,2.43,6.65,-4.22,32.56,28.67,3.88
1374,600048,保利地产,5.92,0.17,-0.048,-0.038,-11.75,0.054,0.069,0.228,0.107,0,3,7,17.07,20.94,-3.87,30.13,32.72,-2.59
1375,300260,新莱应材,18.45,0.82,-0.048,-0.132,-1.29,1.62,1.155,1.055,-1.477,0,3,5,0,0,0,10.87,11.76,-0.89
1376,2498,汉缆股份,8.39,-0.47,-0.048,-0.061,-14.55,-0.111,-0.083,0.012,-0.424,0,0,1,0.28,0,0.28,7.43,19.72,-12.29
1377,2214,大立科技,21.97,-0.05,-0.048,-0.151,-4.87,0.199,-0.761,-0.382,-1.506,0,2,3,0.04,0,0.04,21.68,24.12,-2.44
1378,600975,新五丰,7.71,-0.39,-0.049,-0.11,-3.74,-0.482,-0.302,-0.951,-1.058,0,1,1,0,4.22,-4.22,10.23,8.86,1.36
1379,600270,外运发展,12.68,0.32,-0.049,-0.031,-1.9,0.212,0.277,-0.432,-0.245,0,2,3,3.03,8.64,-5.61,37.59,33.24,4.35
1380,601958,金钼股份,8.68,0.93,-0.05,-0.067,-14.05,-0.176,-0.095,-0.219,-0.158,0,0,1,4.16,2.1,2.06,20.86,31.84,-10.98
1381,600748,上实发展,8.31,0.12,-0.05,-0.086,-8.7,-0.177,-0.193,-0.484,-0.441,0,1,1,0.05,4.77,-4.72,23.95,24.57,-0.62
1382,600648,外高桥,29.71,2.52,-0.05,-0.075,-4.92,0.001,0.029,-0.348,-0.386,0,2,3,14.65,16.5,-1.85,32.8,32.94,-0.14
1383,600552,方兴科技,18.23,0,-0.05,-0.07,-12.7,0.016,-0.168,-0.104,-0.164,0,3,5,6.66,2.03,4.64,34.96,45.52,-10.56
1384,2149,西部材料,19.9,0.66,-0.05,-0.079,-4.12,0.008,0.088,-0.418,-1.432,0,1,2,1.92,4.54,-2.62,20,20.05,-0.05
1385,600985,雷鸣科化,13.24,0.23,-0.051,-0.033,-4.67,-0.028,0.166,-0.075,0.037,0,2,4,0,0,0,8.77,13.1,-4.33
1386,300300,汉鼎股份,25.35,-0.28,-0.051,-0.411,-7.97,0.494,-0.074,-0.225,-1.3,0,2,3,14.55,7.54,7.01,24.1,32.23,-8.13
1387,300202,聚龙股份,27.3,-1.05,-0.051,-0.086,-25.99,-0.158,-0.271,-0.151,-0.404,0,1,3,10.78,7.46,3.32,16.04,32.87,-16.83
1388,1,平安银行,10.57,0.19,-0.051,0.017,-5.68,0.009,0.093,-0.129,-0.161,0,3,5,12.51,19.39,-6.89,31.49,33,-1.51
1389,600771,广誉远,24.5,-0.28,-0.052,-0.082,-9.66,-0.216,-0.306,-0.854,-0.773,0,1,1,1.09,1.29,-0.21,27.16,32.54,-5.38
1390,600729,重庆百货,21.23,0.71,-0.052,-0.034,-4.96,-0.025,0.02,-0.276,-0.265,0,3,4,5.89,7.5,-1.61,28.97,30.94,-1.96
1391,600276,恒瑞医药,34.41,0.29,-0.052,0.007,-9.75,-0.159,-0.063,-0.206,-0.163,0,0,0,8.21,14.98,-6.77,28.79,32.69,-3.9
1392,300068,南都电源,10.28,-0.68,-0.052,-0.31,-6.91,-0.224,-0.164,-2.188,-3.845,0,2,2,2.07,2.06,0.01,23.66,25.76,-2.11
1393,803,金宇车城,14.15,1.65,-0.052,-0.162,-5.19,0.503,-0.082,0.099,-0.942,0,3,5,7.93,5.77,2.16,23.43,27.49,-4.05
1394,601901,方正证券,6.11,0.49,-0.053,-0.078,-6.8,0.193,0.156,0.133,0.054,0,3,6,18.29,16.98,1.31,27.88,32.01,-4.13
1395,600420,现代制药,21.5,-0.88,-0.053,-0.082,-14.87,-0.181,-0.098,-0.171,-0.272,0,2,6,1.25,7.08,-5.83,38.13,39.13,-1
1396,600399,抚顺特钢,21.21,6.8,-0.053,-0.11,-2.29,0.832,0.383,0.116,-0.373,0,2,4,13.69,13.09,0.61,31.68,33.04,-1.36
1397,2485,希努尔,8.81,4.63,-0.053,0.225,0.43,0.252,0.831,0.041,0.149,0,3,4,3.67,4.38,-0.7,19.2,19.86,-0.66
1398,2145,中核钛白,10.31,2.18,-0.053,0.964,3.84,-1.544,-0.53,-4.766,-5.427,0,1,2,3.53,5.45,-1.92,24.93,23.58,1.35
1399,2056,横店东磁,22.28,0.04,-0.053,-0.052,-3.98,-0.584,-0.466,-1.335,-1.485,0,1,1,1.72,4.67,-2.95,34.01,33.54,0.47
1400,957,中通客车,13.24,0,-0.053,-0.327,-8.82,-0.147,-0.774,-1.253,-2.976,0,1,2,4.32,0.23,4.09,20.44,27.18,-6.74
1401,928,*ST吉炭,9.66,1.15,-0.053,-0.005,-4.13,0.266,0.207,-0.205,-0.496,0,3,4,3.32,4.21,-0.88,14.42,17.53,-3.11
1402,572,海马汽车,4.63,-0.22,-0.053,-0.085,-10.48,0.193,-0.047,-0.19,-0.803,0,2,3,5.89,9.49,-3.61,31.91,33.15,-1.25
1403,601636,旗滨集团,7.69,-0.13,-0.054,-0.048,-7.84,0.221,0.069,0.048,-0.01,0,3,3,0,0,0,15.79,22.26,-6.48
1404,601258,庞大集团,5.33,0.19,-0.054,-0.088,-19.7,0.09,0.175,0.211,0.127,0,4,7,8.86,18.49,-9.64,33.38,31.75,1.63
1405,600190,锦州港,5.01,-0.4,-0.054,-0.044,-3.52,-0.219,-0.278,-0.608,-1.069,0,1,2,2,5.8,-3.8,26.06,24.94,1.12
1406,2299,圣农发展,15,-1.12,-0.054,-0.072,-19.61,-0.511,-0.535,-0.762,-0.62,0,0,1,2.32,9.38,-7.06,20.13,25.29,-5.17
1407,2260,伊 立 浦,28.3,-0.77,-0.054,-0.127,-18.38,-0.316,-0.406,-0.579,-0.646,0,0,1,0.07,3.39,-3.32,39.12,42.31,-3.19
1408,2019,鑫富药业,32.73,0.4,-0.054,0.058,-2.92,0.307,-0.044,0.156,0.11,0,2,3,0,3.79,-3.79,23.25,24.13,-0.88
1409,601777,力帆股份,8.75,0.23,-0.055,-0.094,-8.45,-0.122,-0.264,-0.517,-0.683,0,1,2,0,3.04,-3.04,13.76,16.92,-3.16
1410,600333,长春燃气,7.7,0.26,-0.055,-0.04,-3.51,-0.499,-0.089,-0.509,-0.171,0,1,4,3.63,3.13,0.5,25.92,29.05,-3.13
1411,600006,东风汽车,4.44,0,-0.055,0.049,-0.91,-0.416,-0.118,-0.579,-0.306,0,1,3,6.57,9.22,-2.65,32.66,32.32,0.35
1412,300094,国联水产,8.99,0.11,-0.055,-0.23,-8.76,-0.696,-0.695,-1.408,-1.839,0,0,1,3.37,0,3.37,11.64,19.5,-7.85
1413,300015,爱尔眼科,26.67,-0.82,-0.055,-0.103,-16.31,-0.099,-0.2,-0.01,-0.362,0,1,3,1.34,2.77,-1.42,23.64,31,-7.36
1414,600885,宏发股份,23.41,-0.47,-0.056,-0.106,-9.77,-0.182,-0.554,-0.211,-0.35,0,1,3,0,0.02,-0.02,19.4,25.62,-6.22
1415,600008,首创股份,7.21,0.28,-0.056,-0.06,-5.28,0.429,0.431,0.312,0.24,0,3,5,3.16,1.86,1.3,20.23,25.27,-5.05
1416,2594,比亚迪,51.75,0.27,-0.056,-0.017,-12.75,-0.03,0,-0.069,-0.01,0,2,4,9.42,9.38,0.04,24.38,35.07,-10.69
1417,2409,雅克科技,20.22,-0.3,-0.056,-0.09,-5.06,-0.7,-0.736,0.036,-0.749,0,1,3,14.67,8.32,6.35,12.57,21.88,-9.3
1418,2218,拓日新能,11.16,0.9,-0.056,-0.04,-2.63,0.44,0.519,0.558,-0.088,0,3,6,1.8,6.41,-4.61,22.47,19.83,2.64
1419,2713,东易日盛,43.48,-0.16,-0.057,-0.124,-5.49,2.068,2.523,2.89,2.514,0,4,7,9.62,11.42,-1.8,21.9,22.69,-0.8
1420,2336,人人乐,11.42,0.26,-0.057,-0.056,-12.51,-0.379,-0.469,-0.694,-1.312,0,0,0,1.15,0,1.15,15.32,26.28,-10.95
1421,2233,塔牌集团,7.27,0.41,-0.057,0.007,-3.53,-0.309,0.239,-0.538,-0.338,0,0,1,3.69,0,3.69,21,28.39,-7.38
1422,676,思达高科,6.27,0.32,-0.057,-0.067,-6.02,0.313,0.621,-0.199,-0.344,0,3,4,6.86,0,6.86,9.25,20.78,-11.53
1423,601188,龙江交通,3.17,0,-0.058,-0.094,-7.53,-0.396,-0.338,-0.585,-0.433,0,1,3,0,6.58,-6.58,22.73,20.97,1.75
1424,600183,生益科技,7.29,0,-0.058,-0.016,-6.65,-0.095,0.002,-0.224,-0.761,0,2,3,5.95,10.17,-4.22,23.19,24.84,-1.65
1425,300095,华伍股份,9.49,0.32,-0.058,-0.07,-2.13,-1.892,-1.309,-3.603,-4.327,0,0,0,1.02,0,1.02,14.98,17.7,-2.72
1426,402,金 融 街,6.55,-0.46,-0.058,-0.03,-9.78,-0.052,0.127,-0.067,0.046,0,3,6,8.43,11.12,-2.69,30.31,34.6,-4.29
1427,600790,轻纺城,8.1,0.12,-0.059,-0.061,-3.17,-0.243,-0.199,-2.201,-2.993,0,1,2,2.02,3.91,-1.89,21.4,21.89,-0.48
1428,600621,华鑫股份,6.47,0.62,-0.059,-0.048,-5.2,-0.366,-0.23,-0.619,-0.567,0,2,3,0,1.21,-1.21,16.7,19.83,-3.12
1429,600531,豫光金铅,13,1.33,-0.059,0.067,-1.48,-0.704,-0.274,-1.456,-1.695,0,1,2,2.68,0.16,2.52,12.36,16.75,-4.39
1430,600378,天科股份,13.97,-0.14,-0.059,-0.075,-13.44,-0.039,-0.014,-0.298,-0.406,0,3,3,4.96,0.32,4.64,19.51,32.93,-13.41
1431,600023,浙能电力,5.56,0,-0.059,-0.093,-2.09,0.307,1.537,-3.863,-2.985,0,3,3,4.68,3.35,1.33,18.18,20.89,-2.71
1432,2503,搜于特,11.34,0.62,-0.059,-0.292,-5.65,-1.327,-2.409,-1.656,-2.903,0,1,2,3.24,2.54,0.7,30.87,32.95,-2.08
1433,558,莱茵置业,6.09,0.66,-0.059,0.006,-4.54,-0.099,0.434,-0.012,0.337,0,1,3,0.47,5.57,-5.1,27.83,27.33,0.5
1434,600997,开滦股份,5.26,-0.19,-0.06,-0.15,-11.62,0.318,-0.182,0.19,-0.281,0,3,4,2.07,3.41,-1.34,21.88,26.51,-4.63
1435,2026,山东威达,9.62,0,-0.06,-0.229,-8.51,-0.221,-0.414,-0.466,-1.346,0,1,2,0,4.25,-4.25,21.16,20.75,0.41
1436,601939,建设银行,4.16,0.73,-0.061,-0.035,-19.66,0.097,0.241,0.048,0.292,0,3,4,9.99,14.51,-4.52,15.07,25.85,-10.78
1437,601107,四川成渝,3.04,0.66,-0.061,-0.013,-11.36,0.108,0.087,0.071,0.081,0,4,6,9.37,6.31,3.05,18.87,32.17,-13.3
1438,600990,四创电子,40.02,0.15,-0.061,-0.021,-3.82,-0.595,-0.4,-1.024,-0.512,0,0,2,1.2,3.15,-1.95,23.48,24.84,-1.36
1439,600823,世茂股份,9.98,0.91,-0.061,-0.007,-6.65,-0.071,-0.038,-0.346,-0.174,0,2,3,6.36,1.56,4.81,24.97,36.02,-11.06
1440,600649,城投控股,6.98,0.43,-0.061,-0.1,-13.93,0.049,0.1,-0.155,-0.153,0,4,5,7.66,7.43,0.22,28.18,35.08,-6.9
1441,300134,大富科技,39.71,1.33,-0.061,-0.001,-3.76,-0.518,-0.41,-1.28,-1.388,0,0,1,0.68,3.73,-3.05,26.42,27.06,-0.64
1442,2599,盛通股份,16.47,0.24,-0.061,-0.261,-5.25,-0.145,0.385,-0.343,-0.672,0,2,3,0,2.46,-2.46,16.49,16.7,-0.21
1443,2259,升达林业,6.45,0.94,-0.061,0.073,-0.2,-1.659,-1.425,-1.323,-1.835,0,1,5,12.97,8.9,4.07,27.4,32.79,-5.39
1444,300259,新天科技,13.16,0.3,-0.062,-0.085,-2.54,-0.065,0.3,-0.441,-0.618,0,2,3,1.35,1.69,-0.34,31.37,32.46,-1.09
1445,300125,易世达,21.45,0.94,-0.062,-0.11,-3.67,-0.85,-0.41,-2.321,-1.036,0,1,2,0,0,0,35.3,36.92,-1.62
1446,300007,汉威电子,24.93,-0.48,-0.062,-0.128,-6.37,-0.031,0.437,-0.694,-0.659,0,3,4,5.55,3.48,2.07,21.73,27.18,-5.45
1447,2522,浙江众成,10.27,1.58,-0.063,0.004,-2.81,-0.161,-0.224,0.675,-0.024,0,1,4,0,8.97,-8.97,37.67,31.61,6.06
1448,2430,杭氧股份,7.48,0,-0.063,-0.052,-14.09,-0.175,-0.004,-0.233,-0.263,0,1,4,3.01,8.23,-5.22,16.92,22.5,-5.59
1449,601003,柳钢股份,2.8,3.7,-0.064,-0.053,-12.68,-0.087,-0.143,0.003,-0.143,0,2,6,3.57,17.78,-14.21,29.42,23.49,5.93
1450,600654,飞乐股份,10.54,-0.09,-0.064,0.012,-3.47,-0.327,-0.036,-0.493,-0.211,0,1,3,3.29,10.35,-7.06,31.17,27.96,3.21
1451,600642,申能股份,4.52,0.22,-0.064,-0.042,-15.39,0.042,0.02,0.081,0.027,0,3,6,1.74,10.36,-8.62,33.96,35.87,-1.91
1452,600081,东风科技,13.91,-0.29,-0.064,-0.192,-8.75,-0.474,-0.3,-1.152,-1,0,1,2,1.98,1.84,0.14,16.09,21.06,-4.97
1453,300261,雅本化学,14.04,-0.64,-0.064,-0.03,-2.87,-0.95,-1.354,-1.108,-2.029,0,1,4,0,4.28,-4.28,19.48,17.69,1.79
1454,300197,铁汉生态,14.61,0.76,-0.064,-0.084,-3.07,-0.397,-0.711,-0.802,-1.724,0,1,3,1.31,5.28,-3.97,27.33,25.24,2.09
1455,2051,中工国际,18.44,0.77,-0.064,-0.073,-14.89,-0.211,-0.212,-0.391,-0.595,0,2,4,0.07,6.45,-6.38,23.15,26.87,-3.72
1456,697,炼石有色,17.69,-0.17,-0.064,0.027,-1.16,1.203,1.546,0.995,0.076,0,3,5,2.87,6.6,-3.73,33.4,31.18,2.22
1457,600983,合肥三洋,14.1,-1.33,-0.065,-0.082,-14.67,-0.168,-0.329,-0.406,-0.581,0,2,2,0,2.52,-2.52,15.33,23.7,-8.37
1458,600900,长江电力,7.66,-0.26,-0.065,0.003,-20.61,0.053,0.138,0.057,0.121,0,4,7,9.49,20.04,-10.55,19.22,29.79,-10.57
1459,600763,通策医疗,46.35,-1.9,-0.065,-0.078,-17.96,-0.235,-0.167,-0.29,-0.286,0,1,3,16.09,13.57,2.53,18.37,30.89,-12.52
1460,600594,益佰制药,38,0.11,-0.065,-0.038,-6.74,-0.383,-0.527,-0.672,-0.8,0,1,2,20.51,23.03,-2.52,26.8,28.54,-1.73
1461,600281,太化股份,5.68,-0.35,-0.065,-0.09,-12.39,-0.266,-0.334,-0.338,-0.52,0,1,3,0,0,0,8.47,18.51,-10.04
1462,300127,银河磁体,14.68,-0.68,-0.065,-0.313,-9.4,0.043,-0.09,-0.424,-1.324,0,2,3,0,0,0,9.13,14.64,-5.51
1463,300090,盛运股份,15.51,0.13,-0.065,-0.001,-1.72,-0.289,0.181,-1.818,-1.928,0,1,2,9.69,8.08,1.61,30.39,33.68,-3.29
1464,918,嘉凯城,2.94,-0.34,-0.065,-0.034,-30.25,-0.083,-0.012,-0.146,-0.219,0,2,4,3.55,19.79,-16.24,16.69,23.93,-7.24
1465,300187,永清环保,35.39,0.8,-0.066,-0.1,-10.42,-0.097,-0.075,-0.138,-0.067,0,2,4,7.13,5.83,1.3,25.97,32.64,-6.67
1466,2010,传化股份,9.33,0,-0.066,-0.07,-8.5,-0.106,-0.243,-0.542,-1.065,0,2,2,0,2.81,-2.81,15.22,19.2,-3.98
1467,600697,欧亚集团,20.22,1.05,-0.067,-0.018,-7.11,-0.165,0.008,-0.662,-0.036,0,2,2,3.49,18.69,-15.19,40.87,31.33,9.54
1468,600623,双钱股份,13.26,-1.34,-0.067,-0.073,-18.85,-0.062,-0.004,-0.131,-0.033,0,1,2,0,1.15,-1.15,6.18,20.83,-14.64
1469,600195,中牧股份,15.15,-0.46,-0.067,-0.138,-14.95,-0.191,-0.22,-0.338,-0.481,0,2,5,0.21,2.47,-2.26,26.23,31.74,-5.51
1470,2553,南方轴承,13.6,0.44,-0.067,0.215,-0.47,-0.066,-0.848,-1.035,-4.48,0,2,3,0,0.1,-0.1,17.53,19.17,-1.64
1471,2348,高乐股份,9.23,3.48,-0.067,0.056,-0.88,-1.283,-0.072,-1.113,0.236,0,1,3,3.5,3.42,0.08,23.72,25.04,-1.33
1472,2054,德美化工,8.23,0.12,-0.067,-0.067,-5.59,0.045,0.017,-0.345,-1.067,0,2,2,0,1.96,-1.96,24.99,27.04,-2.05
1473,869,张  裕Ａ,31.92,-0.93,-0.067,-0.191,-16.53,0.18,0.003,0.486,0.318,0,3,7,3.13,3.33,-0.2,14.37,23.02,-8.66
1474,601099,太平洋,8.79,0,-0.068,-0.073,-4.23,0.047,0.137,-1.015,-0.806,0,2,3,10.55,11.37,-0.82,34.56,35.9,-1.33
1475,600734,实达集团,5.11,-0.97,-0.068,-0.058,-5.8,0.119,0.295,0.081,-0.261,0,3,5,0,0,0,21.65,26.18,-4.52
1476,2429,兆驰股份,8.25,0.61,-0.068,-0.1,-12.13,-0.206,-0.248,-0.522,-0.737,0,1,2,8.28,5.73,2.56,16.83,26.75,-9.93
1477,96,广聚能源,7.41,-0.8,-0.068,-0.268,-6.49,0.032,-0.029,-0.133,-1.106,0,3,5,0.9,2.14,-1.23,16.89,18.91,-2.02
1478,600257,大湖股份,7.25,-0.14,-0.069,0.015,-2.2,0.121,0.417,-0.501,-0.096,0,3,4,7.76,9.56,-1.81,30.25,31,-0.76
1479,600116,三峡水利,11.15,0.54,-0.069,0.022,-1.8,0.236,0.508,0.063,-0.375,0,2,4,0.02,4.9,-4.88,38.25,35.6,2.64
1480,600800,天津磁卡,6.22,-0.16,-0.07,-0.136,-2.99,-0.511,-0.738,-0.723,-1.001,0,0,1,5.35,1.84,3.51,25.36,30.36,-5
1481,600167,联美控股,12.56,0.4,-0.07,-0.015,-7.01,0.025,0.364,-0.088,0.447,0,3,6,10.23,10.08,0.15,17.13,23.66,-6.53
1482,300244,迪安诊断,43.34,-0.94,-0.07,-0.085,-16.52,0.038,-0.097,-0.241,-0.495,0,4,5,3.26,0,3.26,18.73,33.09,-14.36
1483,2694,顾地科技,8.49,-0.12,-0.07,-1.405,-5.5,-1.215,-3.242,-4.418,-9.522,0,2,3,1.18,0,1.18,17.83,19.88,-2.05
1484,601566,九牧王,12.35,0.24,-0.071,-0.053,-9.77,-0.159,0.441,-0.283,0.34,0,2,3,0,3.98,-3.98,18.19,22.21,-4.02
1485,600805,悦达投资,10.42,0.77,-0.071,-0.065,-4.02,-0.305,-0.366,-0.749,-0.918,0,1,3,7.56,5.6,1.95,34.5,38.8,-4.31
1486,600679,金山开发,15.34,0.07,-0.071,-0.147,-3.92,-0.595,-0.947,-0.522,-0.935,0,1,4,4.44,3.03,1.41,16.77,20.6,-3.82
1487,601299,中国北车,5.25,2.54,-0.072,-0.078,-9.89,-0.102,-0.064,-0.4,-0.325,0,2,3,15.14,20.24,-5.1,27.99,27.89,0.1
1488,600478,科力远,20.88,0.87,-0.072,-0.068,-8.32,-0.321,-0.079,-0.516,-0.22,0,1,3,10.37,12.5,-2.12,40.93,42.78,-1.85
1489,2132,恒星科技,5.93,0.51,-0.072,0.023,-3.41,-0.204,-0.573,-1.138,-3.04,0,2,4,3.93,3.25,0.68,12.51,16.81,-4.29
1490,601799,星宇股份,19.75,-0.9,-0.073,-0.154,-19.15,-0.244,-0.135,-0.342,-0.637,0,1,3,0,0,0,17.84,29.17,-11.33
1491,600879,航天电子,15.4,0.06,-0.073,-0.218,-5.53,0.142,0.288,-1.233,-1.384,0,1,2,9.79,13.02,-3.23,32.5,30.91,1.59
1492,600277,亿利能源,7.84,-0.25,-0.073,-0.206,-18.94,-0.378,-0.908,-0.442,-1.026,0,1,2,4.92,6.97,-2.05,33.41,37.53,-4.12
1493,600076,青鸟华光,6.14,-0.32,-0.073,0.018,-2.99,-1.324,-1.38,-1.151,-1.214,0,0,2,2.37,2.85,-0.48,26.44,29.28,-2.84
1494,2365,永安药业,12.33,1.48,-0.074,-0.192,-3.95,-1.056,-1.416,-0.599,-1.606,0,1,4,7.56,5.62,1.94,18.6,22.33,-3.74
1495,600160,巨化股份,5.57,0,-0.075,-0.067,-9.97,-0.197,-0.06,-0.113,-0.053,0,1,4,7.21,10.31,-3.1,32.51,35.33,-2.81
1496,601113,华鼎股份,4.93,0.61,-0.076,0.076,-0.39,0.038,0.288,-0.004,0.078,0,2,4,29.09,34.43,-5.35,16.39,14.86,1.53
1497,600683,京投银泰,5.52,1.66,-0.076,0.107,-1.19,-0.124,0.191,-0.644,-0.37,0,2,2,3.97,2.15,1.82,22.87,27.12,-4.25
1498,600493,凤竹纺织,7.77,-0.26,-0.076,-0.105,-6.23,0.198,0.446,0.119,0.042,0,3,6,2.54,7.43,-4.9,31.71,30.28,1.43
1499,600243,青海华鼎,9.05,-0.33,-0.076,0.075,-1.59,0.864,2.143,0.846,2.783,0,2,5,1.8,1.18,0.63,25.11,28.33,-3.23
1500,300196,长海股份,17.32,0,-0.076,-0.2,-7.36,-0.13,-0.203,-1.516,-2.032,0,1,2,0,3.12,-3.12,20.28,21.24,-0.96
1501,2543,万和电气,11.05,0.09,-0.076,-0.183,-10.64,-1.507,-1.336,-1.363,-1.847,0,0,1,0,2.38,-2.38,18.46,22.34,-3.88
1502,2187,广百股份,10.02,0.1,-0.076,0.063,-5,-0.141,0.535,-0.582,-0.221,0,2,2,4.17,0.97,3.21,16.3,26.27,-9.97
1503,2090,金智科技,14.78,0.07,-0.076,0.003,-3.73,-0.405,0.053,-0.797,-0.732,0,1,3,0,1.86,-1.86,15.97,17.86,-1.89
1504,2048,宁波华翔,16.7,0.66,-0.076,-0.079,-8.16,0.276,0.326,0.516,0.388,0,2,4,4.04,1.58,2.46,23.02,30.95,-7.93
1505,597,东北制药,12.1,0.58,-0.076,0.007,-3.1,-0.43,-0.407,-1.782,-2.671,0,1,1,1.16,1.99,-0.83,22.66,25,-2.33
