O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
1443,000902,新洋丰,11.34,-0.26,-251万,104,467万,-391万,76万,1.21,1605万,-1932万,-328万,-5.22,2397万,-2671万,-275万,-4.37,1707万,-1181万,526万,8.38
1444,601038,一拖股份,9.02,-0.77,-252万,68,382万,0万,382万,3.72,2087万,-2721万,-634万,-6.17,4514万,-4499万,15万,0.15,3214万,-2977万,236万,2.30
1445,002187,广百股份,10.02,0.10,-252万,37,155万,-36万,119万,3.21,607万,-979万,-371万,-9.97,1602万,-1473万,129万,3.47,1324万,-1201万,122万,3.29
1446,002016,世荣兆业,8.40,0.48,-252万,112,699万,-590万,110万,1.23,2838万,-3200万,-362万,-4.06,3361万,-3300万,60万,0.68,1878万,-1687万,192万,2.15
1447,600282,*ST南钢,2.26,0.44,-252万,4,0万,-102万,-102万,-5.15,496万,-647万,-151万,-7.64,849万,-672万,177万,9.01,621万,-547万,75万,3.79
1448,002010,传化股份,9.33,0.00,-253万,40,0万,-105万,-105万,-2.81,568万,-716万,-148万,-3.98,1924万,-1692万,232万,6.23,1197万,-1177万,21万,0.55
1449,600810,神马股份,6.46,0.00,-255万,2,0万,-47万,-47万,-1.43,567万,-774万,-207万,-6.26,1509万,-1398万,110万,3.33,1238万,-1093万,144万,4.35
1450,600023,浙能电力,5.56,0.00,-256万,37,868万,-621万,247万,1.33,3371万,-3874万,-503万,-2.71,7428万,-7205万,223万,1.20,6838万,-6806万,33万,0.18
1451,002513,蓝丰生化,11.06,0.09,-256万,184,451万,-591万,-140万,-2.18,1355万,-1471万,-116万,-1.80,2752万,-2914万,-162万,-2.51,1692万,-1274万,418万,6.49
1452,300303,聚飞光电,19.00,-0.58,-256万,130,0万,-125万,-125万,-1.68,1159万,-1291万,-132万,-1.78,2927万,-3564万,-637万,-8.59,3206万,-2313万,894万,12.04
1453,000807,云铝股份,5.06,0.40,-257万,139,376万,-1115万,-739万,-7.33,3071万,-2588万,483万,4.79,3609万,-3504万,105万,1.04,2856万,-2704万,152万,1.50
1454,000096,广聚能源,7.41,-0.80,-257万,114,71万,-169万,-97万,-1.23,1331万,-1490万,-159万,-2.02,3076万,-3289万,-213万,-2.70,3288万,-2819万,469万,5.96
1455,600117,西宁特钢,4.31,0.00,-257万,31,326万,-129万,197万,1.96,1621万,-2075万,-454万,-4.52,4225万,-3997万,228万,2.27,3847万,-3818万,30万,0.29
1456,600550,*ST天威,5.65,0.00,-259万,52,0万,0万,0万,0.00,1207万,-1467万,-259万,-5.94,1832万,-1582万,250万,5.72,1273万,-1263万,10万,0.22
1457,002224,三 力 士,7.16,0.00,-260万,105,1499万,-741万,759万,6.63,3077万,-4095万,-1018万,-8.90,3229万,-3722万,-493万,-4.31,3527万,-2774万,753万,6.58
1458,600098,广州发展,5.25,0.19,-260万,34,387万,-541万,-154万,-2.65,1364万,-1470万,-107万,-1.84,2331万,-2240万,92万,1.58,1672万,-1503万,169万,2.91
1459,600754,锦江股份,20.74,-0.48,-260万,12,0万,0万,0万,0.00,735万,-996万,-260万,-9.45,920万,-773万,147万,5.32,1089万,-975万,114万,4.13
1460,000880,潍柴重机,11.89,0.08,-261万,34,113万,-33万,81万,3.55,328万,-669万,-341万,-15.03,751万,-857万,-106万,-4.67,1045万,-679万,367万,16.14
1461,300325,德威新材,8.65,2.25,-261万,160,4万,-9万,-5万,-0.08,1354万,-1609万,-255万,-3.87,3042万,-2958万,84万,1.28,2043万,-1866万,177万,2.67
1462,002336,人人乐,11.42,0.26,-261万,46,31万,0万,31万,1.15,409万,-701万,-292万,-10.95,1128万,-1058万,70万,2.61,1054万,-862万,192万,7.19
1463,002508,老板电器,30.18,0.10,-262万,11,387万,-446万,-59万,-1.33,1220万,-1423万,-203万,-4.57,1623万,-1624万,-1万,-0.01,1201万,-938万,263万,5.92
1464,600101,明星电力,8.49,0.12,-263万,8,406万,0万,406万,6.47,1402万,-2072万,-669万,-10.67,2743万,-2830万,-87万,-1.39,1714万,-1364万,350万,5.59
1465,002651,利君股份,24.68,-2.02,-264万,79,0万,-343万,-343万,-7.15,1794万,-1714万,79万,1.65,1699万,-1778万,-79万,-1.65,1216万,-873万,343万,7.15
1466,300197,铁汉生态,14.61,0.76,-264万,136,185万,-743万,-558万,-3.97,3845万,-3551万,294万,2.09,5678万,-5609万,68万,0.49,4180万,-3985万,196万,1.39
1467,002543,万和电气,11.05,0.09,-265万,56,0万,-101万,-101万,-2.38,781万,-945万,-164万,-3.88,1856万,-1865万,-9万,-0.22,1537万,-1263万,274万,6.48
1468,002098,浔兴股份,13.72,0.29,-265万,54,0万,0万,0万,0.00,935万,-1201万,-265万,-6.57,1835万,-1704万,131万,3.25,1210万,-1076万,134万,3.33
1469,000608,阳光股份,4.41,-0.23,-266万,10,0万,-90万,-90万,-4.27,428万,-604万,-176万,-8.33,891万,-883万,8万,0.40,779万,-522万,257万,12.20
1470,300351,永贵电器,34.14,-1.61,-268万,51,705万,-830万,-125万,-2.20,1159万,-1301万,-142万,-2.50,2345万,-2521万,-176万,-3.09,1429万,-986万,444万,7.80
1471,600543,莫高股份,7.84,-0.13,-268万,14,0万,-186万,-186万,-4.11,1297万,-1379万,-82万,-1.81,1945万,-1657万,289万,6.39,1261万,-1282万,-21万,-0.46
1472,300167,迪威视讯,15.49,0.06,-268万,29,267万,-412万,-145万,-3.74,1110万,-1232万,-123万,-3.16,1669万,-1409万,260万,6.70,809万,-802万,8万,0.20
1473,300365,恒华科技,33.11,-0.75,-269万,45,0万,0万,0万,0.00,388万,-657万,-269万,-8.71,1255万,-1522万,-267万,-8.63,1404万,-868万,536万,17.34
1474,600681,万鸿集团,6.20,-0.80,-270万,5,0万,0万,0万,0.00,305万,-575万,-270万,-10.43,1289万,-1052万,237万,9.13,992万,-959万,34万,1.30
1475,000822,*ST海化,3.84,-0.52,-272万,20,0万,0万,0万,0.00,260万,-532万,-272万,-10.46,906万,-1139万,-232万,-8.94,1413万,-909万,504万,19.40
1476,600826,兰生股份,18.81,0.11,-273万,63,102万,-367万,-265万,-3.36,2355万,-2363万,-8万,-0.10,3343万,-2992万,351万,4.45,2031万,-2110万,-78万,-0.99
1477,601111,中国国航,3.73,0.81,-274万,142,3377万,-3243万,133万,0.89,3559万,-3967万,-407万,-2.72,4017万,-4097万,-80万,-0.53,3887万,-3534万,354万,2.36
1478,600081,东风科技,13.91,-0.29,-274万,12,112万,-104万,8万,0.14,912万,-1193万,-282万,-4.97,2180万,-2777万,-597万,-10.53,2451万,-1580万,871万,15.37
1479,002634,棒杰股份,19.68,-0.61,-275万,29,0万,0万,0万,0.00,376万,-651万,-275万,-9.38,1482万,-1518万,-36万,-1.24,1045万,-734万,311万,10.62
1480,000697,炼石有色,17.69,-0.17,-279万,258,531万,-1221万,-690万,-3.73,6179万,-5769万,411万,2.22,7763万,-7337万,426万,2.30,3759万,-3906万,-147万,-0.79
1481,600444,国通管业,16.03,-0.80,-279万,0,0万,0万,0万,0.00,476万,-755万,-279万,-12.74,975万,-775万,200万,9.10,744万,-664万,80万,3.64
1482,600683,京投银泰,5.52,1.66,-282万,4,463万,-250万,213万,1.82,2664万,-3159万,-495万,-4.25,5063万,-4689万,375万,3.22,3455万,-3547万,-92万,-0.79
1483,300283,温州宏丰,14.13,-1.26,-283万,49,0万,-124万,-124万,-4.46,293万,-452万,-159万,-5.73,1245万,-1406万,-161万,-5.80,1188万,-744万,444万,16.00
1484,002275,桂林三金,18.38,0.88,-284万,214,345万,0万,345万,6.96,549万,-1178万,-629万,-12.69,2731万,-2514万,218万,4.39,1117万,-1051万,66万,1.33
1485,300069,金利华电,17.37,-1.92,-284万,27,0万,0万,0万,0.00,272万,-555万,-284万,-15.12,770万,-854万,-83万,-4.44,790万,-423万,367万,19.56
1486,002218,拓日新能,11.16,0.90,-285万,288,261万,-927万,-666万,-4.61,3250万,-2868万,381万,2.64,6054万,-6069万,-15万,-0.10,4604万,-4304万,300万,2.07
1487,002661,克明面业,34.70,0.00,-285万,33,0万,0万,0万,0.02,236万,-521万,-285万,-14.74,779万,-748万,31万,1.59,886万,-632万,254万,13.13
1488,600865,百大集团,7.09,0.00,-285万,12,332万,-139万,194万,3.90,994万,-1473万,-479万,-9.65,2176万,-2128万,48万,0.97,1448万,-1212万,237万,4.77
1489,002619,巨龙管业,23.73,0.13,-286万,159,0万,-68万,-68万,-1.51,1131万,-1349万,-218万,-4.83,1935万,-1603万,332万,7.35,1290万,-1335万,-46万,-1.01
1490,600266,北京城建,9.98,0.40,-286万,202,491万,-1107万,-616万,-3.81,6116万,-5787万,329万,2.04,6677万,-6202万,475万,2.94,2685万,-2874万,-188万,-1.17
1491,002211,宏达新材,7.44,0.00,-288万,40,10万,-333万,-323万,-7.27,1108万,-1073万,35万,0.79,1856万,-1829万,27万,0.61,1430万,-1169万,261万,5.87
1492,002096,南岭民爆,11.10,-0.27,-288万,28,0万,0万,0万,0.00,422万,-710万,-288万,-8.98,1595万,-1378万,217万,6.76,1162万,-1091万,71万,2.22
1493,300106,西部牧业,13.39,-1.47,-288万,163,133万,0万,133万,1.95,931万,-1353万,-422万,-6.16,2971万,-3081万,-110万,-1.60,2647万,-2248万,398万,5.82
1494,002633,申科股份,23.17,-0.56,-291万,220,295万,-151万,144万,1.94,1429万,-1864万,-435万,-5.87,3195万,-3361万,-166万,-2.24,2277万,-1820万,458万,6.17
1495,600735,新华锦,10.31,-0.58,-293万,1,2万,0万,2万,0.05,572万,-867万,-295万,-7.15,1912万,-1893万,20万,0.48,1638万,-1365万,273万,6.61
1496,300339,润和软件,20.46,-0.20,-295万,37,426万,-778万,-352万,-4.34,1465万,-1409万,56万,0.69,3381万,-2929万,451万,5.56,2759万,-2915万,-156万,-1.92
1497,600790,轻纺城,8.10,0.12,-298万,51,253万,-490万,-237万,-1.89,2685万,-2746万,-61万,-0.48,5886万,-5728万,158万,1.26,3670万,-3529万,140万,1.12
1498,300160,秀强股份,11.26,0.36,-298万,85,0万,0万,0万,0.00,489万,-787万,-298万,-6.95,1511万,-1801万,-290万,-6.77,2197万,-1609万,588万,13.72
1499,000686,东北证券,8.96,1.01,-298万,742,7899万,-8665万,-766万,-1.31,1.91亿,-1.87亿,468万,0.80,1.87亿,-1.95亿,-790万,-1.35,1.21亿,-1.10亿,1088万,1.86
1500,300286,安科瑞,26.79,-0.89,-299万,103,0万,0万,0万,0.00,680万,-978万,-299万,-4.90,2745万,-3081万,-336万,-5.51,2569万,-1934万,634万,10.41
1501,601116,三江购物,8.28,-0.12,-299万,12,0万,0万,0万,0.00,411万,-710万,-299万,-7.47,2176万,-2064万,112万,2.80,1405万,-1218万,187万,4.67
1502,600490,鹏欣资源,14.01,-2.23,-299万,575,1.13亿,-1.02亿,1173万,1.82,2.52亿,-2.67亿,-1473万,-2.28,1.91亿,-1.88亿,348万,0.54,8416万,-8464万,-48万,-0.07
1503,002478,常宝股份,10.90,-0.27,-302万,50,0万,0万,0万,0.00,678万,-980万,-302万,-9.31,1464万,-1204万,260万,8.02,1049万,-1007万,42万,1.29
1504,300145,南方泵业,20.55,-1.72,-302万,38,0万,0万,0万,0.00,288万,-590万,-302万,-13.15,897万,-920万,-24万,-1.03,1074万,-749万,326万,14.18
1505,000597,东北制药,12.10,0.58,-303万,85,111万,-191万,-80万,-0.83,2167万,-2391万,-223万,-2.33,4242万,-3842万,400万,4.19,2956万,-3053万,-98万,-1.02
1506,600365,通葡股份,9.97,-0.20,-305万,6,0万,0万,0万,0.00,271万,-576万,-305万,-16.21,896万,-741万,154万,8.20,709万,-558万,151万,8.01
1507,601877,正泰电器,26.23,3.31,-307万,4,626万,-711万,-86万,-1.02,1721万,-1942万,-221万,-2.64,3401万,-3409万,-8万,-0.09,2634万,-2319万,315万,3.75
1508,600885,宏发股份,23.41,-0.47,-307万,1,0万,-1万,-1万,-0.02,955万,-1261万,-306万,-6.22,2420万,-2462万,-43万,-0.86,1547万,-1197万,350万,7.10
1509,600746,江苏索普,8.31,-0.84,-309万,17,0万,-147万,-147万,-2.82,824万,-986万,-162万,-3.12,2482万,-2148万,335万,6.42,1885万,-1910万,-26万,-0.49
1510,600579,天华院,8.74,0.46,-310万,5,0万,0万,0万,0.00,748万,-1058万,-310万,-7.15,2079万,-2090万,-11万,-0.27,1497万,-1176万,321万,7.42
1511,600552,方兴科技,18.23,0.00,-310万,1,349万,-106万,243万,4.64,1829万,-2382万,-553万,-10.56,2161万,-2113万,48万,0.92,892万,-631万,262万,5.00
1512,600432,吉恩镍业,17.12,1.78,-310万,973,6550万,-4683万,1867万,2.54,1.84亿,-2.06亿,-2177万,-2.96,2.69亿,-2.74亿,-512万,-0.70,2.07亿,-1.99亿,822万,1.12
1513,000761,本钢板材,6.12,0.49,-312万,165,608万,-527万,80万,0.74,1410万,-1802万,-392万,-3.63,3884万,-4034万,-150万,-1.39,4730万,-4268万,462万,4.28
1514,600821,津劝业,5.37,-0.74,-313万,64,0万,0万,0万,0.00,495万,-808万,-313万,-5.55,2730万,-2362万,368万,6.53,2345万,-2400万,-55万,-0.97
1515,300121,阳谷华泰,9.37,-0.43,-315万,132,47万,-215万,-167万,-1.96,1906万,-2054万,-148万,-1.74,4021万,-3994万,27万,0.31,2404万,-2116万,289万,3.39
1516,603993,洛阳钼业,7.59,0.66,-316万,15,255万,-69万,186万,2.32,1498万,-2000万,-502万,-6.24,2845万,-3066万,-221万,-2.75,3428万,-2891万,537万,6.68
1517,000017,深中华A,7.33,0.41,-318万,54,0万,-146万,-146万,-2.39,1257万,-1428万,-172万,-2.81,3114万,-2794万,319万,5.23,1677万,-1679万,-2万,-0.03
1518,601098,中南传媒,15.45,0.06,-318万,97,1848万,-1599万,249万,1.06,7133万,-7700万,-567万,-2.42,8407万,-8847万,-440万,-1.87,5982万,-5224万,758万,3.23
1519,002580,圣阳股份,18.25,-0.16,-321万,97,0万,0万,0万,0.00,1050万,-1371万,-321万,-5.35,2942万,-3044万,-102万,-1.70,1905万,-1482万,423万,7.05
1520,600250,南纺股份,8.09,-0.25,-321万,13,0万,0万,0万,0.00,447万,-768万,-321万,-8.14,2028万,-1885万,143万,3.63,1456万,-1278万,178万,4.51
1521,002637,赞宇科技,16.49,-0.18,-322万,51,0万,0万,0万,0.00,1754万,-2076万,-322万,-4.71,3232万,-3288万,-57万,-0.83,1798万,-1420万,378万,5.54
1522,000963,华东医药,56.76,1.00,-323万,69,697万,-225万,472万,4.46,2648万,-3443万,-795万,-7.51,3382万,-4151万,-769万,-7.27,3781万,-2689万,1092万,10.32
1523,600990,四创电子,40.02,0.15,-325万,92,118万,-309万,-191万,-1.95,2304万,-2437万,-133万,-1.36,4633万,-4248万,385万,3.93,2665万,-2726万,-61万,-0.62
1524,600420,现代制药,21.50,-0.88,-329万,11,60万,-341万,-280万,-5.83,1836万,-1884万,-48万,-1.00,1992万,-1880万,112万,2.33,915万,-698万,217万,4.50
1525,600446,金证股份,35.00,-0.28,-332万,4,1457万,-2332万,-875万,-7.39,3963万,-3420万,543万,4.59,3806万,-3809万,-3万,-0.03,2613万,-2278万,335万,2.83
1526,002718,友邦吊顶,59.81,-0.75,-332万,42,109万,-159万,-50万,-1.68,366万,-648万,-282万,-9.49,1254万,-1278万,-24万,-0.81,1199万,-842万,356万,11.98
1527,000633,合金投资,7.05,-1.95,-333万,139,0万,-107万,-107万,-4.59,428万,-654万,-226万,-9.75,847万,-898万,-51万,-2.18,908万,-525万,384万,16.51
1528,600346,大橡塑,9.18,-1.29,-334万,0,0万,0万,0万,0.00,620万,-955万,-334万,-7.74,2030万,-1961万,69万,1.59,1673万,-1408万,266万,6.14
1529,600869,智慧能源,10.36,0.29,-335万,15,0万,0万,0万,0.00,1077万,-1412万,-335万,-4.50,3770万,-3552万,218万,2.93,2578万,-2462万,117万,1.57
1530,300090,盛运股份,15.51,0.13,-336万,218,1945万,-1622万,324万,1.61,6098万,-6758万,-660万,-3.29,8099万,-7631万,468万,2.33,3691万,-3824万,-132万,-0.66
1531,002001,新 和 成,14.86,0.68,-336万,438,1613万,-981万,632万,3.67,4360万,-5329万,-969万,-5.62,5652万,-6510万,-858万,-4.98,5180万,-3985万,1195万,6.93
1532,600778,友好集团,8.37,-0.36,-338万,6,0万,-53万,-53万,-1.04,818万,-1103万,-285万,-5.67,2533万,-2439万,95万,1.88,1673万,-1430万,243万,4.83
1533,002248,*ST东数,8.23,2.88,-339万,54,0万,0万,0万,0.00,1283万,-1621万,-339万,-6.73,2288万,-1897万,391万,7.78,1406万,-1458万,-53万,-1.05
1534,300085,银之杰,21.88,-1.35,-340万,74,770万,-449万,321万,3.15,3326万,-3986万,-661万,-6.48,3988万,-3883万,105万,1.03,2034万,-1799万,234万,2.30
1535,600094,大名城,7.65,0.92,-341万,0,422万,-191万,232万,6.57,989万,-1562万,-572万,-16.24,1378万,-1164万,214万,6.06,735万,-607万,127万,3.61
1536,600520,中发科技,12.90,0.86,-342万,1,0万,-13万,-13万,-0.27,1952万,-2280万,-329万,-6.74,2126万,-1735万,391万,8.02,798万,-847万,-49万,-1.01
1537,000505,珠江控股,5.61,-0.53,-343万,113,0万,0万,0万,0.00,266万,-609万,-343万,-11.06,1539万,-1522万,17万,0.54,1180万,-854万,326万,10.52
1538,002217,*ST合泰,8.34,1.34,-344万,16,173万,-151万,22万,0.36,1619万,-1984万,-365万,-6.18,2589万,-2386万,203万,3.44,1471万,-1331万,141万,2.38
1539,600617,国新能源,19.50,-0.20,-344万,0,209万,-400万,-190万,-6.30,806万,-960万,-154万,-5.08,1162万,-1033万,129万,4.26,846万,-631万,215万,7.11
1540,600721,百花村,9.38,-1.16,-345万,31,0万,-4万,-4万,-0.12,392万,-734万,-341万,-10.04,1584万,-1478万,105万,3.09,1394万,-1154万,240万,7.06
1541,601799,星宇股份,19.75,-0.90,-346万,9,0万,0万,0万,0.00,545万,-891万,-346万,-11.33,1263万,-1157万,106万,3.48,1237万,-997万,240万,7.86
1542,000918,嘉凯城,2.94,-0.34,-346万,11,52万,-292万,-239万,-16.24,246万,-353万,-107万,-7.24,692万,-454万,237万,16.12,387万,-279万,109万,7.37
1543,600622,嘉宝集团,6.92,0.29,-346万,17,135万,0万,135万,2.48,988万,-1469万,-481万,-8.86,2393万,-2024万,368万,6.79,1896万,-1919万,-22万,-0.41
1544,002253,川大智胜,28.18,-0.21,-354万,37,136万,-138万,-2万,-0.04,808万,-1161万,-352万,-7.54,2353万,-2068万,285万,6.09,1336万,-1267万,69万,1.48
1545,000546,光华控股,9.04,-0.22,-355万,40,65万,0万,65万,1.92,392万,-812万,-421万,-12.35,1819万,-1596万,224万,6.57,1077万,-946万,131万,3.85
1546,002247,帝龙新材,11.02,-0.99,-355万,36,55万,-111万,-57万,-1.38,722万,-1020万,-299万,-7.26,1580万,-1692万,-113万,-2.74,1719万,-1251万,468万,11.38
1547,300099,尤洛卡,12.71,-1.01,-358万,54,0万,-119万,-119万,-4.65,189万,-428万,-239万,-9.29,1045万,-1119万,-73万,-2.86,1278万,-846万,431万,16.81
1548,600999,招商证券,11.24,0.72,-359万,382,5992万,-6057万,-66万,-0.13,1.73亿,-1.76亿,-293万,-0.58,1.71亿,-1.45亿,2576万,5.14,9351万,-1.16亿,-2218万,-4.43
1549,600692,亚通股份,9.40,0.11,-362万,29,287万,-779万,-492万,-4.58,2400万,-2270万,130万,1.21,4846万,-4412万,435万,4.05,3175万,-3247万,-72万,-0.67
1550,600449,宁夏建材,8.58,0.23,-362万,72,0万,-116万,-116万,-1.32,2571万,-2818万,-247万,-2.82,4083万,-3814万,269万,3.07,2033万,-1940万,94万,1.07
1551,002019,鑫富药业,32.73,0.40,-362万,156,0万,-294万,-294万,-3.79,1802万,-1870万,-68万,-0.88,4088万,-3272万,816万,10.53,1704万,-2157万,-453万,-5.85
1552,002174,游族网络,52.39,0.00,-363万,105,165万,-500万,-336万,-3.61,3065万,-3092万,-27万,-0.29,3676万,-3296万,380万,4.08,2291万,-2308万,-17万,-0.18
1553,002423,中原特钢,11.46,0.88,-363万,538,1702万,-1423万,280万,1.35,5482万,-6125万,-643万,-3.10,7598万,-7774万,-175万,-0.84,5431万,-4892万,538万,2.59
1554,002547,春兴精工,13.44,-0.07,-365万,34,111万,-111万,-0万,-0.00,1504万,-1868万,-364万,-5.10,3723万,-3212万,511万,7.15,1769万,-1915万,-146万,-2.05
1555,600197,伊力特,10.29,0.19,-366万,25,0万,-282万,-282万,-3.91,1736万,-1820万,-84万,-1.16,3117万,-3281万,-164万,-2.27,2340万,-1810万,530万,7.34
1556,600082,海泰发展,5.27,-0.94,-367万,163,184万,-202万,-18万,-0.17,2012万,-2361万,-349万,-3.24,4887万,-4606万,281万,2.62,3504万,-3419万,85万,0.79
1557,600722,金牛化工,5.12,-1.35,-367万,12,27万,-191万,-163万,-3.86,881万,-1084万,-203万,-4.80,1761万,-1566万,195万,4.60,1556万,-1384万,172万,4.06
1558,002127,*ST新民,6.73,0.75,-368万,88,7万,0万,7万,0.22,492万,-867万,-375万,-11.43,1609万,-1443万,165万,5.04,1086万,-883万,203万,6.17
1559,300290,荣科科技,20.02,0.30,-368万,125,117万,0万,117万,1.83,950万,-1436万,-486万,-7.58,3060万,-2872万,188万,2.93,2154万,-1973万,181万,2.82
1560,002157,正邦科技,9.88,-1.50,-369万,70,173万,-0万,173万,2.85,875万,-1417万,-542万,-8.92,1920万,-2586万,-666万,-10.97,3020万,-1985万,1035万,17.04
1561,300372,欣泰电气,26.14,-0.53,-371万,149,0万,0万,0万,0.00,514万,-885万,-371万,-7.79,2085万,-2297万,-211万,-4.44,2011万,-1429万,582万,12.23
1562,000935,四川双马,6.30,-0.16,-371万,109,0万,-388万,-388万,-9.20,429万,-411万,17万,0.41,1760万,-1734万,26万,0.62,1922万,-1577万,345万,8.17
1563,300362,天保重装,25.43,-0.31,-371万,111,0万,-108万,-108万,-1.76,890万,-1154万,-263万,-4.31,2724万,-2672万,53万,0.86,2387万,-2068万,319万,5.21
1564,600190,锦州港,5.01,-0.40,-374万,61,278万,-809万,-531万,-3.80,3635万,-3478万,157万,1.12,5232万,-5075万,157万,1.12,4742万,-4525万,217万,1.56
1565,002430,杭氧股份,7.48,0.00,-374万,35,104万,-285万,-181万,-5.22,586万,-779万,-193万,-5.59,1439万,-1284万,156万,4.50,1298万,-1079万,219万,6.31
1566,002311,海大集团,11.48,-0.35,-374万,216,17万,-165万,-149万,-2.56,1232万,-1458万,-226万,-3.89,2419万,-1960万,459万,7.90,1928万,-2013万,-84万,-1.45
1567,600222,太龙药业,7.68,-0.90,-380万,8,24万,-124万,-100万,-2.05,986万,-1267万,-280万,-5.74,2133万,-2128万,5万,0.11,1732万,-1357万,375万,7.68
1568,000409,山东地矿,11.26,-0.27,-383万,114,110万,0万,110万,2.50,650万,-1142万,-493万,-11.25,2006万,-1981万,25万,0.57,1495万,-1137万,358万,8.17
1569,300263,隆华节能,16.43,2.11,-384万,477,707万,-770万,-62万,-0.29,4778万,-5100万,-322万,-1.50,9676万,-8618万,1058万,4.93,5793万,-6467万,-673万,-3.14
1570,600226,升华拜克,8.47,1.19,-385万,36,0万,-323万,-323万,-4.15,1711万,-1774万,-62万,-0.80,3535万,-3163万,372万,4.79,2494万,-2482万,12万,0.16
1571,601988,中国银行,2.74,0.74,-385万,69,1252万,-1101万,151万,0.93,3730万,-4266万,-536万,-3.29,6365万,-6590万,-225万,-1.38,4872万,-4262万,610万,3.74
1572,000798,中水渔业,9.12,0.44,-386万,67,0万,-46万,-46万,-0.94,967万,-1307万,-340万,-6.96,2244万,-2037万,207万,4.24,1610万,-1431万,179万,3.66
1573,002559,亚威股份,20.18,-0.35,-386万,217,536万,-978万,-442万,-4.03,3347万,-3291万,56万,0.51,4064万,-3102万,961万,8.77,2789万,-3364万,-575万,-5.25
1574,600326,西藏天路,7.29,-0.27,-386万,51,0万,-771万,-771万,-8.33,1901万,-1516万,385万,4.16,3651万,-3627万,23万,0.25,3651万,-3288万,363万,3.92
1575,600516,方大炭素,11.15,0.45,-386万,79,5668万,-5832万,-165万,-0.21,2.32亿,-2.34亿,-222万,-0.28,2.84亿,-2.78亿,659万,0.85,2.05亿,-2.07亿,-272万,-0.35
1576,002258,利尔化学,14.46,0.00,-387万,33,289万,-423万,-133万,-3.41,844万,-1098万,-253万,-6.48,1717万,-1344万,372万,9.52,1026万,-1011万,15万,0.37
1577,002192,路翔股份,25.87,-0.96,-389万,85,103万,0万,103万,2.05,1123万,-1615万,-492万,-9.77,2040万,-2048万,-8万,-0.15,1676万,-1279万,397万,7.88
1578,600997,开滦股份,5.26,-0.19,-389万,14,135万,-222万,-87万,-1.34,1426万,-1728万,-302万,-4.63,2620万,-2582万,38万,0.59,2322万,-1971万,351万,5.39
1579,600376,首开股份,5.32,-0.37,-389万,65,355万,-623万,-268万,-2.05,4271万,-4392万,-121万,-0.93,4456万,-3785万,671万,5.13,3941万,-4223万,-282万,-2.15
1580,000070,特发信息,10.85,-0.64,-391万,25,0万,0万,0万,0.00,630万,-1022万,-391万,-11.04,1696万,-1458万,239万,6.73,1194万,-1041万,153万,4.31
1581,000565,渝三峡Ａ,11.53,-0.43,-393万,138,0万,0万,0万,0.00,557万,-950万,-393万,-9.18,1900万,-1921万,-21万,-0.49,1688万,-1274万,414万,9.67
1582,000766,通化金马,6.77,-1.02,-394万,86,0万,-9万,-9万,-0.21,730万,-1116万,-385万,-9.44,1690万,-1887万,-198万,-4.84,1576万,-985万,592万,14.49
1583,600195,中牧股份,15.15,-0.46,-395万,7,11万,-126万,-115万,-2.26,1332万,-1612万,-280万,-5.51,2242万,-2333万,-91万,-1.79,1487万,-1001万,486万,9.57
1584,300139,福星晓程,45.85,-0.71,-397万,127,174万,-637万,-463万,-8.74,2091万,-2024万,67万,1.26,2048万,-1798万,249万,4.70,862万,-715万,147万,2.78
1585,000005,世纪星源,2.67,-1.11,-397万,40,268万,-670万,-401万,-9.05,1580万,-1575万,4万,0.09,1367万,-1344万,23万,0.52,1181万,-807万,374万,8.44
1586,600459,贵研铂业,18.31,0.11,-398万,51,14万,-6万,8万,0.07,2106万,-2513万,-406万,-3.31,5755万,-5810万,-55万,-0.45,4359万,-3905万,454万,3.69
1587,601107,四川成渝,3.04,0.66,-399万,24,365万,-246万,119万,3.05,735万,-1253万,-518万,-13.30,1646万,-1157万,490万,12.57,1126万,-1217万,-90万,-2.32
1588,000572,海马汽车,4.63,-0.22,-400万,220,485万,-782万,-297万,-3.61,2629万,-2732万,-103万,-1.25,2969万,-2750万,219万,2.66,1937万,-1756万,181万,2.20
1589,002621,大连三垒,12.34,-0.96,-400万,56,0万,0万,0万,0.00,370万,-770万,-400万,-11.44,1317万,-1548万,-231万,-6.61,1755万,-1123万,631万,18.04
1590,600011,华能国际,6.41,2.40,-400万,102,1411万,-428万,983万,6.60,2852万,-4236万,-1384万,-9.29,6158万,-5890万,268万,1.80,4372万,-4239万,132万,0.89
1591,600976,武汉健民,25.58,-0.35,-401万,0,906万,-1059万,-152万,-2.28,2772万,-3021万,-249万,-3.72,1850万,-2156万,-306万,-4.57,1171万,-463万,708万,10.56
1592,600567,山鹰纸业,2.22,0.45,-402万,28,313万,-1015万,-701万,-9.45,1662万,-1363万,299万,4.03,3106万,-2702万,404万,5.44,2311万,-2313万,-2万,-0.02
