O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
284,600808,马钢股份,1.79,0.56,1149万,120,1384万,-300万,1084万,17.90,1678万,-1613万,65万,1.07,1801万,-2252万,-452万,-7.46,1074万,-1771万,-697万,-11.51
285,002471,中超电缆,9.76,0.62,1139万,107,1271万,-449万,822万,9.90,1929万,-1612万,317万,3.82,3490万,-4294万,-804万,-9.68,1509万,-1845万,-335万,-4.04
286,600022,山东钢铁,1.81,1.12,1138万,103,875万,-238万,637万,10.25,2581万,-2080万,501万,8.07,1558万,-2191万,-633万,-10.19,1096万,-1601万,-505万,-8.13
287,000513,丽珠集团,50.13,2.64,1128万,199,1208万,-559万,649万,7.02,2612万,-2133万,479万,5.18,3549万,-3939万,-389万,-4.21,1679万,-2417万,-739万,-7.99
288,000839,中信国安,8.32,0.60,1126万,336,2983万,-1827万,1156万,4.61,8005万,-8036万,-31万,-0.12,8381万,-9432万,-1050万,-4.19,5343万,-5418万,-75万,-0.30
289,002148,北纬通信,24.96,1.50,1124万,629,3299万,-2429万,870万,1.73,1.43亿,-1.41亿,254万,0.50,2.00亿,-2.08亿,-754万,-1.50,1.20亿,-1.24亿,-370万,-0.73
290,000723,美锦能源,6.69,1.36,1118万,168,351万,0万,351万,5.83,1546万,-779万,767万,12.75,2367万,-2832万,-466万,-7.75,1582万,-2233万,-652万,-10.84
291,002447,壹桥苗业,17.65,3.88,1117万,573,713万,-413万,299万,2.32,5215万,-4398万,817万,6.33,4730万,-5284万,-553万,-4.29,1664万,-2227万,-563万,-4.36
292,000006,深振业Ａ,5.46,1.11,1116万,162,2233万,-1154万,1079万,8.91,4381万,-4344万,37万,0.30,3560万,-4017万,-457万,-3.77,1783万,-2441万,-659万,-5.44
293,600578,京能电力,3.77,1.62,1110万,132,2447万,-1679万,768万,4.15,5377万,-5036万,342万,1.85,5709万,-6269万,-560万,-3.03,4830万,-5379万,-550万,-2.97
