O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
1165,002481,双塔食品,13.99,0.21,0.03,3.10万,340,13.98,13.99,0.00,0.00,4327万,----, 食品行业,14.03,13.88,13.95,13.96,1.07,0.92,-37.51,-1343,13.94,1.40万,1.70万,0.83,357,345,----,0,0,0,0,0.36,3.02,3.29,5.34
1166,000780,平庄能源,4.71,0.21,0.01,11.4万,3223,4.71,4.72,0.00,0.00,5345万,----, 煤炭采选,4.73,4.66,4.70,4.70,1.49,1.42,-40.35,-9933,4.70,6.09万,5.28万,1.15,108,3467,----,0,0,0,0,1.07,4.67,3.10,5.06
1167,601700,风范股份,15.01,0.20,0.03,5.35万,60,15.01,15.02,0.07,0.00,7982万,----, 输配电气,15.15,14.75,14.97,14.98,2.67,1.07,-4.16,-98,14.92,2.78万,2.57万,1.08,223,117,----,0,0,0,0,5.70,9.48,8.67,12.84
1168,600397,安源煤业,4.99,0.20,0.01,18.8万,58,4.98,4.99,0.00,0.00,9346万,----, 煤炭采选,5.04,4.92,5.00,4.98,2.41,0.89,-42.88,-7905,4.98,10.6万,8.23万,1.28,1659,1356,----,0,0,0,0,-0.40,4.61,10.97,19.30
1169,002059,云南旅游,9.99,0.20,0.02,1.84万,126,9.98,9.99,0.10,0.00,1839万,----, 旅游酒店,10.06,9.92,9.97,9.97,1.40,0.76,-12.71,-343,9.98,9355,9075,1.03,461,40,----,0,0,0,0,1.63,4.94,4.01,6.52
1170,000750,国海证券,9.89,0.20,0.02,35.9万,2278,9.88,9.89,0.00,0.00,3.56亿,----, 券商信托,10.05,9.84,9.91,9.87,2.13,1.09,-22.35,-5040,9.92,16.2万,19.7万,0.82,2501,1457,----,0,0,0,0,0.92,3.34,5.38,9.97
1171,601258,庞大集团,5.33,0.19,0.01,17.5万,0,5.33,5.34,-0.19,0.00,9271万,----, 商业百货,5.36,5.27,5.33,5.32,1.69,1.07,-49.65,-9388,5.31,9.05万,8.42万,1.07,643,1837,----,0,0,0,0,0.76,4.92,2.14,3.77
1172,600780,通宝能源,5.18,0.19,0.01,9.46万,4,5.17,5.18,0.19,0.00,4886万,----, 电力行业,5.20,5.11,5.18,5.17,1.74,0.90,-32.85,-5777,5.16,5.43万,4.03万,1.35,1697,2446,----,0,0,0,0,3.19,6.58,3.30,4.90
1173,600684,珠江实业,5.23,0.19,0.01,23.4万,20,5.23,5.24,0.00,0.00,1.22亿,----, 房地产,5.26,5.19,5.22,5.22,1.34,1.26,-32.88,-1.32万,5.22,12.1万,11.4万,1.06,588,454,----,0,0,0,0,1.55,5.23,9.29,16.31
1174,600675,中华企业,5.23,0.19,0.01,30.1万,280,5.22,5.23,-0.19,0.00,1.57亿,----, 房地产,5.29,5.17,5.22,5.22,2.30,1.51,-25.87,-1.02万,5.23,15.3万,14.8万,1.03,4572,2247,----,0,0,0,0,1.95,4.18,4.62,6.94
1175,600400,红豆股份,5.19,0.19,0.01,8.12万,44,5.18,5.19,0.19,0.00,4205万,----, 纺织服装,5.21,5.15,5.18,5.18,1.16,1.05,-19.29,-2618,5.18,4.45万,3.67万,1.21,669,651,----,0,0,0,0,1.57,6.35,4.94,8.31
1176,600230,沧州大化,10.72,0.19,0.02,4.06万,78,10.72,10.73,-0.09,0.00,4358万,----, 化工行业,10.83,10.67,10.74,10.70,1.50,1.15,18.81,753,10.73,2.38万,1.69万,1.41,217,259,----,0,0,0,0,0.85,5.41,4.16,7.40
1177,600197,伊力特,10.29,0.19,0.02,7.01万,0,10.28,10.29,0.10,0.00,7219万,----, 酿酒行业,10.40,10.21,10.28,10.27,1.85,0.83,-28.09,-1232,10.30,3.35万,3.65万,0.92,65,795,----,0,0,0,0,0.59,6.63,5.60,11.10
1178,600098,广州发展,5.25,0.19,0.01,11.1万,0,5.24,5.25,0.19,0.00,5793万,----, 电力行业,5.26,5.20,5.25,5.24,1.15,1.04,-3.57,-831,5.22,5.79万,5.30万,1.09,108,3351,----,0,0,0,0,1.74,4.17,1.62,2.65
1179,000900,现代投资,5.26,0.19,0.01,11.4万,1778,5.25,5.26,0.19,0.00,5988万,----, 高速公路,5.28,5.20,5.28,5.25,1.52,1.00,-22.00,-5899,5.24,6.50万,4.93万,1.32,1147,3569,----,0,0,0,0,2.53,4.99,4.42,6.78
1180,000622,恒立实业,5.30,0.19,0.01,9.61万,945,5.30,5.31,-0.19,0.00,5119万,----, 机械行业,5.47,5.22,5.28,5.29,4.73,1.35,-7.83,-390,5.33,5.27万,4.34万,1.21,1450,53,----,0,0,0,0,1.92,7.72,9.85,16.60
1181,000001,平安银行,10.57,0.19,0.02,59.8万,1.18万,10.56,10.57,0.00,0.00,6.31亿,----, 银行,10.64,10.50,10.55,10.55,1.33,0.99,-44.50,-2.99万,10.55,30.9万,28.9万,1.07,5281,927,----,0,0,0,0,1.15,4.14,2.03,3.67
1182,600828,成商集团,5.43,0.18,0.01,9.14万,5,5.43,5.44,0.00,0.00,4954万,----, 商业百货,5.47,5.39,5.45,5.42,1.48,1.50,-2.34,-303,5.42,5.23万,3.91万,1.34,62,599,----,0,0,0,0,0.93,5.85,3.86,6.94
1183,600593,大连圣亚,16.85,0.18,0.03,1.55万,0,16.84,16.86,-0.06,0.00,2614万,----, 旅游酒店,16.94,16.77,16.80,16.82,1.01,1.05,36.98,441,16.85,9230,6288,1.47,13,24,----,0,0,0,0,0.66,4.72,5.61,9.69
1184,600367,红星发展,10.97,0.18,0.02,9.79万,32,10.97,10.98,0.09,0.00,1.06亿,----, 化工行业,11.03,10.68,10.95,10.95,3.20,1.31,22.27,934,10.85,5.87万,3.92万,1.50,89,447,----,0,0,0,0,-1.08,1.95,8.35,16.24
1185,600122,宏图高科,5.55,0.18,0.01,18.1万,0,5.54,5.55,0.36,0.00,9988万,----, 商业百货,5.57,5.48,5.55,5.54,1.62,0.95,-37.23,-9079,5.53,10.1万,7.96万,1.27,405,10,----,0,0,0,0,1.83,6.94,5.87,9.95
1186,300119,瑞普生物,10.85,0.18,0.02,5.07万,735,10.84,10.85,0.09,0.00,5465万,----, 医药行业,10.88,10.70,10.87,10.83,1.66,1.17,-11.64,-561,10.78,2.74万,2.33万,1.17,1378,811,----,0,0,0,0,0.00,6.37,8.19,13.18
1187,000589,黔轮胎Ａ,5.65,0.18,0.01,7.60万,846,5.64,5.65,0.18,0.00,4277万,----, 汽车行业,5.65,5.60,5.65,5.64,0.89,0.97,-12.39,-1686,5.63,3.57万,4.03万,0.89,701,1384,----,0,0,0,0,2.36,5.61,6.08,9.56
1188,600811,东方集团,6.06,0.17,0.01,23.9万,1038,6.06,6.07,0.00,0.00,1.45亿,----, 综合行业,6.08,6.01,6.07,6.05,1.16,1.32,-40.07,-1.45万,6.05,11.7万,12.2万,0.95,185,3255,----,0,0,0,0,1.00,4.30,4.04,6.86
1189,600095,哈高科,6.03,0.17,0.01,7.99万,113,6.03,6.04,0.17,0.00,4777万,----, 食品行业,6.04,5.92,6.00,6.02,1.99,0.81,-37.21,-2475,5.98,4.30万,3.70万,1.16,91,1263,----,0,0,0,0,-0.17,6.35,6.69,15.89
1190,600048,保利地产,5.92,0.17,0.01,78.7万,472,5.91,5.92,0.00,0.00,4.66亿,----, 房地产,5.97,5.88,5.94,5.91,1.52,0.80,-22.77,-3.15万,5.92,37.0万,41.7万,0.89,1.94万,733,----,0,0,0,0,2.96,4.96,3.37,5.31
1191,000931,中 关 村,6.05,0.17,0.01,11.3万,1205,6.04,6.05,0.17,0.00,6805万,----, 房地产,6.08,5.98,6.04,6.04,1.66,1.15,-4.43,-978,6.03,6.37万,4.92万,1.29,1459,2090,----,0,0,0,0,1.51,4.67,6.98,11.92
1192,000903,云内动力,5.96,0.17,0.01,12.0万,2194,5.95,5.96,0.34,0.00,7096万,----, 机械行业,5.98,5.86,5.91,5.95,2.02,1.01,-55.87,-8928,5.92,5.85万,6.14万,0.95,132,3253,----,0,0,0,0,3.83,8.36,6.68,10.45
1193,601717,郑煤机,6.11,0.16,0.01,19.0万,4,6.10,6.11,0.00,0.00,1.15亿,----, 机械行业,6.13,6.03,6.09,6.10,1.64,0.88,-17.33,-5305,6.08,11.3万,7.72万,1.46,1223,2283,----,0,0,0,0,0.83,5.71,4.75,9.25
1194,600979,广安爱众,6.46,0.16,0.01,16.7万,7,6.44,6.45,0.31,0.00,1.09亿,----, 公用事业,6.66,6.36,6.45,6.45,4.65,1.29,-4.81,-188,6.51,7.49万,9.23万,0.81,557,682,----,0,0,0,0,7.49,9.68,6.88,11.37
1195,600971,恒源煤电,6.32,0.16,0.01,13.0万,0,6.32,6.33,0.00,0.00,8231万,----, 煤炭采选,6.36,6.25,6.33,6.31,1.74,1.69,-60.44,-5554,6.32,6.09万,6.94万,0.88,392,982,----,0,0,0,0,1.94,5.69,3.33,5.16
1196,600785,新华百货,12.43,0.16,0.02,4.18万,26,12.42,12.43,0.00,0.00,5179万,----, 商业百货,12.46,12.28,12.40,12.41,1.45,0.71,-19.62,-1055,12.38,2.11万,2.07万,1.02,380,29,----,0,0,0,0,0.97,8.56,8.00,16.22
1197,300093,金刚玻璃,12.75,0.16,0.02,13.8万,1479,12.75,12.76,0.00,0.00,1.75亿,----, 玻璃陶瓷,12.96,12.45,12.70,12.73,4.01,1.00,-10.31,-418,12.69,7.67万,6.14万,1.25,230,702,----,0,0,0,0,1.51,6.96,18.61,38.56
1198,002431,棕榈园林,18.70,0.16,0.03,6.14万,574,18.69,18.70,-0.11,0.00,1.15亿,----, 木业家具,18.83,18.53,18.68,18.67,1.61,0.87,-70.18,-2649,18.68,3.15万,3.00万,1.05,108,205,----,0,0,0,0,2.19,4.06,10.16,16.40
1199,002144,宏达高科,18.44,0.16,0.03,6.11万,918,18.43,18.44,-0.05,0.00,1.12亿,----, 纺织服装,18.60,18.22,18.47,18.41,2.06,1.20,-36.58,-997,18.38,3.25万,2.86万,1.14,239,905,----,0,0,0,0,2.10,5.25,13.05,23.09
1200,002093,国脉科技,6.14,0.16,0.01,16.7万,2727,6.13,6.14,0.00,0.00,1.03亿,----, 通讯行业,6.19,6.08,6.18,6.13,1.79,1.23,-48.65,-1.31万,6.13,7.66万,9.09万,0.84,1592,1262,----,0,0,0,0,1.66,6.97,6.18,9.93
1201,000700,模塑科技,12.56,0.16,0.02,5.21万,501,12.55,12.56,0.00,0.00,6518万,----, 汽车行业,12.63,12.40,12.58,12.54,1.83,0.75,-70.46,-3792,12.52,2.53万,2.67万,0.95,257,512,----,0,0,0,0,1.54,1.95,5.48,12.88
1202,000672,上峰水泥,6.11,0.16,0.01,3.08万,536,6.11,6.12,-0.16,0.00,1880万,----, 水泥建材,6.13,6.08,6.11,6.10,0.82,0.80,-30.69,-4619,6.11,1.55万,1.53万,1.01,119,1431,----,0,0,0,0,1.16,5.16,5.37,10.64
1203,600990,四创电子,40.02,0.15,0.06,2.46万,0,39.95,40.00,0.05,0.00,9812万,----, 电子元件,40.58,39.21,39.70,39.96,3.43,0.50,20.99,93,39.84,1.28万,1.18万,1.08,72,79,----,0,0,0,0,-1.28,18.37,8.17,19.91
1204,600219,南山铝业,6.73,0.15,0.01,45.4万,415,6.73,6.74,-0.15,0.00,3.07亿,----, 有色金属,6.88,6.68,6.73,6.72,2.98,0.80,-20.39,-4235,6.77,23.6万,21.8万,1.08,10,1596,----,0,0,0,0,1.36,14.07,9.98,17.07
1205,300024,机器人,34.09,0.15,0.05,14.1万,1575,34.08,34.09,0.03,0.00,4.83亿,----, 机械行业,34.59,34.00,34.06,34.04,1.73,0.77,-3.80,-162,34.23,7.32万,6.78万,1.08,289,731,----,0,0,0,0,0.80,6.20,8.57,16.62
1206,002162,斯米克,6.89,0.15,0.01,6.41万,907,6.88,6.89,0.00,0.00,4403万,----, 玻璃陶瓷,6.91,6.84,6.91,6.88,1.02,1.22,-7.50,-756,6.87,3.47万,2.93万,1.19,472,551,----,0,0,0,0,0.88,5.03,5.00,7.84
1207,000877,天山股份,6.54,0.15,0.01,17.9万,2851,6.54,6.55,-0.15,0.00,1.17亿,----, 水泥建材,6.59,6.48,6.55,6.53,1.68,1.14,-44.10,-1.32万,6.53,8.93万,8.98万,1.00,518,3945,----,0,0,0,0,1.24,3.81,6.60,10.96
1208,600984,建设机械,7.41,0.14,0.01,3.85万,0,7.42,7.43,0.14,0.00,2855万,----, 机械行业,7.52,7.34,7.40,7.40,2.43,1.15,-35.41,-411,7.41,1.98万,1.87万,1.06,48,50,----,0,0,0,0,1.79,8.97,7.57,14.51
1209,600483,福建南纺,7.33,0.14,0.01,5.00万,150,7.33,7.34,-0.14,0.00,3679万,----, 纺织服装,7.42,7.28,7.30,7.32,1.91,0.83,-4.16,-354,7.35,2.46万,2.54万,0.97,211,339,----,0,0,0,0,1.81,4.71,7.25,12.24
1210,600238,海南椰岛,7.08,0.14,0.01,7.37万,300,7.08,7.09,0.00,0.00,5202万,----, 酿酒行业,7.11,7.01,7.07,7.07,1.41,0.96,0.65,65,7.06,4.53万,2.84万,1.59,48,841,----,0,0,0,0,2.76,6.47,7.47,10.34
1211,600039,四川路桥,7.13,0.14,0.01,18.9万,19,7.13,7.14,0.00,0.00,1.34亿,----, 工程建设,7.18,7.06,7.15,7.12,1.69,0.53,-2.14,-436,7.12,10.8万,8.08万,1.33,945,1334,----,0,0,0,0,1.28,9.86,12.66,36.08
1212,300189,神农大丰,6.94,0.14,0.01,15.1万,1027,6.93,6.94,0.14,0.00,1.05亿,----, 农牧饲渔,6.99,6.85,6.97,6.93,2.02,1.03,27.86,4845,6.91,7.16万,7.97万,0.90,3756,315,----,0,0,0,0,3.89,8.44,17.42,26.51
1213,002033,丽江旅游,14.23,0.14,0.02,4.40万,368,14.23,14.24,0.00,0.00,6231万,----, 旅游酒店,14.27,14.11,14.23,14.21,1.13,1.06,-31.61,-820,14.18,2.35万,2.04万,1.15,281,108,----,0,0,0,0,0.85,3.87,6.84,12.80
1214,000926,福星股份,6.99,0.14,0.01,11.3万,3415,6.99,7.00,-0.14,0.00,7895万,----, 房地产,7.01,6.96,6.99,6.98,0.72,1.16,-0.16,-60,6.99,5.11万,6.19万,0.83,1727,4059,----,0,0,0,0,1.30,4.02,6.40,11.38
1215,000563,陕国投Ａ,7.30,0.14,0.01,20.8万,2131,7.29,7.30,0.00,0.00,1.51亿,----, 券商信托,7.35,7.21,7.30,7.29,1.92,1.53,-25.67,-4652,7.28,11.0万,9.80万,1.12,3055,739,----,0,0,0,0,1.81,5.95,7.81,11.79
1216,000338,潍柴动力,21.09,0.14,0.03,18.7万,3398,21.09,21.10,0.00,0.00,3.94亿,----, 机械行业,21.24,20.90,21.15,21.06,1.61,1.10,16.19,1837,21.04,9.56万,9.15万,1.05,327,1850,----,0,0,0,0,1.83,3.23,5.98,10.65
1217,600858,银座股份,7.93,0.13,0.01,5.08万,50,7.92,7.93,0.13,0.00,4021万,----, 商业百货,7.98,7.88,7.92,7.92,1.26,0.77,2.06,125,7.92,2.64万,2.44万,1.08,188,292,----,0,0,0,0,1.93,6.16,3.47,7.32
1218,600539,狮头股份,7.55,0.13,0.01,5.62万,32,7.55,7.56,0.00,0.00,4212万,----, 水泥建材,7.57,7.40,7.55,7.54,2.25,1.35,-30.86,-1286,7.49,2.65万,2.98万,0.89,231,599,----,0,0,0,0,2.72,6.64,10.32,16.48
1219,600522,中天科技,15.03,0.13,0.02,23.8万,60,15.03,15.04,0.00,0.00,3.59亿,----, 通讯行业,15.14,14.93,15.06,15.01,1.40,0.81,-35.09,-3001,15.04,10.5万,13.3万,0.79,295,562,----,0,0,0,0,2.52,8.21,14.23,24.24
1220,300228,富瑞特装,52.37,0.13,0.07,4.77万,455,52.36,52.37,0.02,0.00,2.49亿,----, 机械行业,52.65,51.77,52.41,52.30,1.68,1.32,8.39,80,52.09,2.66万,2.11万,1.26,348,93,----,0,0,0,0,2.11,5.88,14.10,21.53
1221,300176,鸿特精密,15.07,0.13,0.02,1.47万,89,15.06,15.07,0.00,0.00,2205万,----, 机械行业,15.11,14.86,15.04,15.05,1.66,0.71,10.02,81,14.99,8231,6476,1.27,135,84,----,0,0,0,0,0.80,2.80,6.68,11.02
1222,300090,盛运股份,15.51,0.13,0.02,12.9万,1109,15.51,15.52,0.00,0.00,2.01亿,----, 机械行业,15.76,15.40,15.55,15.49,2.32,1.24,-24.52,-1325,15.56,6.84万,6.06万,1.13,469,618,----,0,0,0,0,2.24,7.48,11.93,19.33
1223,002619,巨龙管业,23.73,0.13,0.03,1.91万,630,23.72,23.73,0.00,0.00,4515万,----, 水泥建材,23.98,23.35,23.60,23.70,2.66,0.99,-5.44,-98,23.60,1.03万,8853,1.16,120,238,----,0,0,0,0,3.72,10.89,10.63,20.04
1224,002168,深圳惠程,7.87,0.13,0.01,17.5万,2030,7.87,7.88,-0.13,0.00,1.37亿,----, 输配电气,7.88,7.77,7.85,7.86,1.40,0.90,-21.43,-4167,7.83,8.99万,8.55万,1.05,1624,3846,----,0,0,0,0,2.08,6.78,12.01,20.27
1225,000990,诚志股份,15.97,0.13,0.02,2.56万,685,15.97,15.98,0.00,0.00,4066万,----, 医药行业,16.02,15.73,15.95,15.95,1.82,1.04,14.63,288,15.87,1.39万,1.17万,1.19,17,10,----,0,0,0,0,7.69,13.18,3.33,5.02
1226,000809,铁岭新城,15.00,0.13,0.02,5.19万,856,14.98,15.00,-0.66,0.00,7753万,----, 房地产,15.10,14.72,15.00,14.98,2.54,0.68,-23.90,-562,14.95,2.11万,3.07万,0.69,14,493,----,0,0,0,0,1.97,6.69,7.17,12.04
1227,000739,普洛药业,7.74,0.13,0.01,15.2万,2019,7.73,7.74,0.00,0.00,1.17亿,----, 医药行业,7.77,7.66,7.73,7.73,1.42,1.04,-14.78,-2143,7.71,7.73万,7.43万,1.04,1241,853,----,0,0,0,0,-0.39,3.20,6.43,11.72
1228,000619,海螺型材,7.49,0.13,0.01,4.88万,344,7.49,7.50,0.00,0.00,3645万,----, 水泥建材,7.55,7.43,7.49,7.48,1.60,0.89,-46.90,-2746,7.47,2.65万,2.23万,1.19,496,1264,----,0,0,0,0,0.13,2.60,4.70,8.93
1229,600790,轻纺城,8.10,0.12,0.01,15.5万,140,8.09,8.10,0.12,0.00,1.25亿,----, 商业百货,8.13,8.05,8.09,8.09,0.99,0.96,12.24,2869,8.10,8.41万,7.09万,1.19,3974,1208,----,0,0,0,0,0.12,5.33,8.83,15.60
1230,600748,上实发展,8.31,0.12,0.01,10.2万,238,8.31,8.32,-0.12,0.00,8479万,----, 房地产,8.38,8.24,8.31,8.30,1.69,1.18,6.08,605,8.31,4.42万,5.78万,0.76,118,863,----,0,0,0,0,1.71,4.27,2.77,4.93
1231,600101,明星电力,8.49,0.12,0.01,7.40万,87,8.48,8.49,0.12,0.00,6273万,----, 电力行业,8.55,8.44,8.48,8.48,1.30,1.29,-13.75,-969,8.48,3.40万,4.00万,0.85,594,79,----,0,0,0,0,1.92,4.69,7.20,11.10
1232,300316,晶盛机电,24.43,0.12,0.03,1.63万,189,24.42,24.43,-0.20,0.00,4006万,----, 机械行业,24.72,24.21,24.48,24.40,2.09,0.82,-32.53,-278,24.51,8352,7995,1.04,9,247,----,0,0,0,0,1.54,4.00,4.11,8.73
1233,300120,经纬电材,8.17,0.12,0.01,2.87万,113,8.17,8.18,0.00,0.00,2341万,----, 输配电气,8.23,8.10,8.17,8.16,1.59,0.93,-18.19,-631,8.16,1.54万,1.33万,1.16,46,452,----,0,0,0,0,2.25,7.93,6.95,12.16
1234,002054,德美化工,8.23,0.12,0.01,3.99万,172,8.23,8.24,-0.12,0.00,3278万,----, 化工行业,8.36,8.15,8.22,8.22,2.55,1.25,-35.37,-1955,8.22,2.05万,1.93万,1.06,523,818,----,0,0,0,0,1.23,6.47,5.16,8.32
1235,000819,岳阳兴长,17.28,0.12,0.02,1.82万,381,17.25,17.28,0.23,0.00,3114万,----, 石油行业,17.32,17.03,17.23,17.26,1.68,0.94,-72.46,-711,17.15,1.08万,7366,1.46,20,164,----,0,0,0,0,-0.40,1.65,2.46,4.89
1236,000090,天健集团,8.49,0.12,0.01,4.84万,467,8.49,8.50,0.00,0.00,4091万,----, 工程建设,8.55,8.37,8.50,8.48,2.12,0.89,-39.00,-1922,8.45,2.65万,2.19万,1.21,598,1350,----,0,0,0,0,1.19,4.56,2.95,5.78
1237,601339,百隆东方,8.99,0.11,0.01,2.69万,21,8.99,9.00,0.00,0.00,2417万,----, 纺织服装,9.04,8.94,9.03,8.98,1.11,0.92,-17.21,-1474,8.98,1.53万,1.16万,1.31,995,1739,----,0,0,0,0,1.24,5.76,5.28,9.06
1238,600826,兰生股份,18.81,0.11,0.02,4.23万,27,18.81,18.84,0.21,0.00,7895万,----, 国际贸易,18.94,18.30,18.72,18.79,3.41,1.25,-28.24,-94,18.66,2.17万,2.06万,1.05,1,30,----,0,0,0,0,3.75,5.14,3.27,5.01
1239,600692,亚通股份,9.40,0.11,0.01,11.4万,10,9.39,9.40,-0.32,0.00,1.07亿,----, 港口水运,9.57,9.35,9.38,9.39,2.34,1.33,37.54,3300,9.43,5.41万,5.98万,0.91,298,47,----,0,0,0,0,1.29,6.33,12.89,21.23
1240,600594,益佰制药,38.00,0.11,0.04,5.44万,31,38.00,38.01,0.00,0.00,2.06亿,----, 医药行业,38.01,37.72,37.81,37.96,0.76,1.53,23.78,233,37.84,3.52万,1.92万,1.84,68,71,----,0,0,0,0,-1.63,-0.78,4.95,6.48
1241,600459,贵研铂业,18.31,0.11,0.02,6.70万,0,18.31,18.32,0.05,0.00,1.23亿,----, 有色金属,18.48,18.13,18.31,18.29,1.91,1.10,30.67,487,18.33,3.39万,3.31万,1.02,310,97,----,0,0,0,0,1.05,4.81,8.55,14.22
1242,300094,国联水产,8.99,0.11,0.01,4.23万,1086,8.99,9.00,-0.11,0.00,3786万,----, 农牧饲渔,9.01,8.91,8.98,8.98,1.11,0.94,2.10,80,8.96,2.42万,1.80万,1.34,123,913,----,0,0,0,0,1.47,5.15,4.01,7.65
1243,002607,亚夏汽车,9.30,0.11,0.01,14.6万,1705,9.29,9.30,0.00,0.00,1.37亿,----, 汽车行业,9.63,9.20,9.30,9.29,4.63,0.79,-26.25,-1650,9.39,7.41万,7.20万,1.03,547,220,----,0,0,0,0,-0.96,0.11,22.38,53.65
1244,002246,北化股份,9.38,0.11,0.01,17.0万,2675,9.38,9.39,0.00,0.00,1.58亿,----, 化工行业,9.44,9.20,9.33,9.37,2.56,0.65,-45.68,-3294,9.31,9.23万,7.74万,1.19,363,402,----,0,0,0,0,1.30,13.70,16.60,35.41
1245,000895,双汇发展,36.13,0.11,0.04,9.90万,1354,36.13,36.14,0.00,0.00,3.56亿,----, 食品行业,36.36,35.78,36.17,36.09,1.61,1.46,0.07,1,35.99,5.60万,4.30万,1.30,29,147,----,0,0,0,0,1.66,4.97,2.29,3.62
1246,000813,天山纺织,9.08,0.11,0.01,17.6万,1041,9.07,9.08,0.00,0.00,1.64亿,----, 纺织服装,9.62,8.96,8.97,9.07,7.28,2.35,-43.78,-1694,9.31,8.18万,9.42万,0.87,251,1417,----,0,0,0,0,8.22,13.22,28.33,35.07
1247,600505,西昌电力,10.42,0.10,0.01,3.69万,0,10.40,10.42,0.10,0.00,3830万,----, 电力行业,10.55,10.30,10.43,10.41,2.40,0.76,-50.63,-1056,10.39,1.95万,1.73万,1.13,74,353,----,0,0,0,0,4.62,10.15,4.36,7.65
1248,600469,风神股份,10.21,0.10,0.01,4.22万,5,10.20,10.21,0.10,0.00,4306万,----, 汽车行业,10.27,10.18,10.19,10.20,0.88,1.12,-20.95,-887,10.21,2.31万,1.91万,1.21,180,95,----,0,0,0,0,0.69,5.80,3.41,6.16
1249,002508,老板电器,30.18,0.10,0.03,1.48万,19,30.17,30.18,0.00,0.00,4442万,----, 家电行业,30.28,29.99,30.28,30.15,0.96,1.19,-84.58,-787,30.10,8387,6372,1.32,31,71,----,0,0,0,0,-0.13,1.96,1.50,2.46
1250,002187,广百股份,10.02,0.10,0.01,3.73万,361,10.01,10.02,0.00,0.00,3726万,----, 商业百货,10.10,9.90,10.01,10.01,2.00,0.73,-27.56,-991,9.98,2.36万,1.38万,1.72,660,916,----,0,0,0,0,1.42,7.05,4.56,8.77
1251,002182,云海金属,9.57,0.10,0.01,11.3万,1466,9.57,9.58,0.00,0.00,1.08亿,----, 有色金属,9.66,9.46,9.57,9.56,2.09,1.31,-39.33,-2071,9.57,6.11万,5.19万,1.18,443,119,----,0,0,0,0,1.70,6.81,15.52,24.71
1252,000524,东方宾馆,9.63,0.10,0.01,2.17万,544,9.62,9.63,-0.21,0.00,2081万,----, 旅游酒店,9.74,9.52,9.74,9.62,2.29,0.54,-11.25,-325,9.60,9038,1.26万,0.72,461,831,----,0,0,0,0,2.99,7.60,4.33,8.24
1253,000099,中信海直,9.89,0.10,0.01,18.2万,2439,9.88,9.89,0.10,0.00,1.79亿,----, 民航机场,9.95,9.73,9.86,9.88,2.23,0.91,-50.54,-6255,9.83,9.16万,9.04万,1.01,1526,1926,----,0,0,0,0,2.28,9.16,12.89,20.54
1254,002543,万和电气,11.05,0.09,0.01,3.84万,289,11.04,11.05,0.09,0.00,4230万,----, 家电行业,11.07,10.96,11.07,11.04,1.00,0.63,-24.36,-1169,11.03,2.01万,1.82万,1.10,479,677,----,0,0,0,0,0.36,3.37,4.52,10.74
1255,002513,蓝丰生化,11.06,0.09,0.01,5.84万,1354,11.05,11.06,0.00,0.00,6435万,----, 化工行业,11.23,10.89,11.07,11.05,3.08,1.49,-45.61,-1127,11.03,2.70万,3.13万,0.86,141,565,----,0,0,0,0,2.41,6.76,7.63,11.92
1256,002419,天虹商场,11.49,0.09,0.01,4.43万,720,11.49,11.50,0.00,0.00,5076万,----, 商业百货,11.60,11.37,11.53,11.48,2.00,0.70,-28.40,-639,11.45,2.41万,2.02万,1.19,205,340,----,0,0,0,0,-1.20,8.91,1.91,4.53
1257,002287,奇正藏药,22.54,0.09,0.02,1.14万,73,22.54,22.55,0.00,0.00,2558万,----, 医药行业,22.58,22.35,22.52,22.52,1.02,1.13,-19.64,-75,22.45,5961,5436,1.10,63,72,----,0,0,0,0,0.27,4.01,0.92,1.53
1258,002124,天邦股份,11.50,0.09,0.01,2.84万,1076,11.48,11.50,0.44,0.00,3244万,----, 农牧饲渔,11.63,11.24,11.59,11.49,3.39,0.97,63.20,773,11.40,1.69万,1.15万,1.47,600,0,----,0,0,0,0,1.95,2.04,5.10,12.07
