O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
55,002172,澳洋科技,6.31,6.59,0.39,22.7万,2222,6.30,6.31,0.16,0.00,1.42亿,----, 化纤行业,6.51,5.95,5.96,5.92,9.46,3.66,-34.31,-2045,6.26,10.5万,12.2万,0.86,645,517,----,0,0,0,0,7.31,9.55,6.97,10.01
56,002183,怡 亚 通,11.88,6.55,0.73,92.4万,1.09万,11.88,11.89,0.42,0.00,10.9亿,----, 国际贸易,12.18,11.20,11.29,11.15,8.79,1.47,42.91,5237,11.78,42.7万,49.7万,0.86,3455,1134,----,0,0,0,0,19.52,30.41,23.07,41.28
57,600129,太极集团,13.03,6.54,0.80,15.5万,5,13.03,13.04,-0.15,0.00,1.98亿,----, 医药行业,13.09,12.03,12.18,12.23,8.67,1.65,-39.33,-545,12.78,6.07万,9.44万,0.64,19,101,----,0,0,0,0,15.21,15.51,9.80,14.66
58,600320,振华重工,4.28,6.47,0.26,84.9万,8,4.28,4.29,-0.23,0.00,3.53亿,----, 机械行业,4.42,3.91,4.02,4.02,12.69,2.13,-35.25,-1.12万,4.15,41.0万,43.9万,0.93,686,6306,----,0,0,0,0,15.68,25.51,7.79,10.29
59,002473,圣莱达,27.05,6.45,1.64,4.01万,1292,27.05,27.06,-0.07,0.00,1.04亿,----, 家电行业,27.10,25.16,25.39,25.41,7.63,3.95,79.10,8775,25.92,1.64万,2.37万,0.69,3662,308,----,0,0,0,0,6.75,10.36,3.63,5.68
60,600526,菲达环保,12.44,6.42,0.75,46.6万,4,12.42,12.43,0.08,0.00,5.80亿,----, 机械行业,12.86,11.79,11.79,11.69,9.15,2.76,42.98,1956,12.46,20.8万,25.8万,0.81,623,261,----,0,0,0,0,7.61,12.58,21.49,32.17
61,300381,溢多利,64.10,6.28,3.79,2.16万,384,64.08,64.10,0.00,0.00,1.35亿,----, 农牧饲渔,64.38,60.02,60.23,60.31,7.23,1.42,13.90,52,62.75,9173,1.24万,0.74,1,76,----,0,0,0,0,12.67,21.06,60.08,85.11
62,603167,渤海轮渡,11.52,6.27,0.68,44.1万,20,11.51,11.52,0.35,0.00,4.99亿,----, 港口水运,11.79,10.88,11.00,10.84,8.39,2.68,7.11,228,11.32,22.3万,21.8万,1.02,97,110,----,0,0,0,0,17.07,21.90,33.52,41.48
63,600080,金花股份,13.33,6.22,0.78,19.9万,0,13.31,13.33,0.53,0.00,2.55亿,----, 医药行业,13.69,12.47,12.55,12.55,9.72,2.41,-16.75,-2091,12.81,6.77万,13.1万,0.52,8,17,----,0,0,0,0,11.36,12.68,14.83,20.07
64,600217,秦岭水泥,8.38,6.21,0.49,48.7万,5,8.37,8.38,-0.12,0.00,4.16亿,----, 水泥建材,8.68,8.29,8.30,7.89,4.94,4.12,-44.85,-2510,8.55,24.2万,24.5万,0.99,99,291,----,0,0,0,0,3.84,11.44,10.90,16.31
